celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated,avg_weekly_rank,final_rank_parsed,episodes_participated_parsed,rank_difference
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7,7,6,,8,9,9,,9,8,7,,7,8,6,,9,9,9,,9,9,9,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,1.0,8.666666666666666,1.0,8.0,2.0,7.0,3.0,9.0,1.0,9.0,2.0,,,,,,,,,,,6,1.6666666666666667,2.0,6,-0.33333333333333326
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5,4,4,,5,6,6,,6,7,8,,9,9,8,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,6.0,5.666666666666667,5.0,7.0,4.0,8.666666666666666,1.0,7.833333333333333,2.0,9.166666666666666,1.0,,,,,,,,,,,6,3.1666666666666665,1.0,6,2.1666666666666665
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5,7,6,,5,4,5,,5,4,4,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,4.666666666666667,6.0,4.333333333333333,5.0,,,,,,,,,,,,,,,,,3,5.0,5.0,3,0.0
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7,6,7,,8,8,8,,8,9,9,,7,9,9,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,1.0,8.0,2.0,8.666666666666666,1.0,8.333333333333334,2.0,,,,,,,,,,,,,,,4,1.5,4.0,4,-2.5
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7,7,6,,8,7,6,,7,7,8,,7,6,7,,8.5,7,7,,0,0,0,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,1.0,7.0,3.0,7.333333333333333,3.0,6.666666666666667,4.0,7.5,3.0,,,,,,,,,,,,,5,2.8,3.0,5,-0.20000000000000018
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6,6,6,,6,7,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,6.333333333333333,4.0,,,,,,,,,,,,,,,,,,,2,4.0,6.0,2,-2.0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7,8,8,,5,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,7.666666666666667,2.0,5.666666666666667,8.0,,,,,,,,,,,,,,,,,,,2,5.0,9.0,2,-4.0
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6,7,7,,7,8,7,,9,8,9,,9,8,8,,7,7,8,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,6.666666666666667,6.0,7.333333333333333,5.0,8.666666666666666,3.0,8.333333333333334,4.0,7.333333333333333,6.0,,,,,,,,,,,,,5,4.8,6.0,5,-1.2000000000000002
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7,5,6,,8,7,7,,7,7,8,,7,7,7,,8,8,8,,8,7,8,,0,0,0,,0,0,0,,,,,,,,,,,,,,6.0,8.0,7.333333333333333,5.0,7.333333333333333,5.0,7.0,6.0,8.0,4.0,7.666666666666667,4.0,,,,,,,,,,,6,5.333333333333333,5.0,6,0.33333333333333304
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5,7,7,,6,7,7,,8,8,9,,9,9,8,,7,9,9,,9,9,9,,8.5,9,9,,0,0,0,,,,,,,,,,,,,,6.333333333333333,7.0,6.666666666666667,7.0,8.333333333333334,4.0,8.666666666666666,2.0,8.333333333333334,3.0,9.0,3.0,8.833333333333334,3.0,,,,,,,,,7,4.142857142857143,4.0,7,0.14285714285714324
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,6,8,,9,10,10,,9,9,9,,8,9,9,,10,10,10,,10,10,10,,9,9,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,7.333333333333333,4.0,9.666666666666666,1.0,9.0,1.0,8.666666666666666,2.0,10.0,1.0,10.0,1.0,9.166666666666666,1.0,9.5555,2.0,,,,,,,8,1.625,3.0,8,-1.375
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,7,7,,7,8,8,,7,6,6,,8,8,8,,7,8,8,,8,7,8,,7,7,6.5,,9,9,8.6666,,,,,,,,,,,,,,7.0,5.0,7.666666666666667,4.0,6.333333333333333,7.0,8.0,5.0,7.666666666666667,5.0,7.666666666666667,4.0,6.833333333333333,4.0,8.888866666666667,3.0,,,,,,,8,4.625,2.0,8,2.625
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7,8,8,,8,8,8,,7,8,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,7.666666666666667,2.0,8.0,3.0,7.333333333333333,5.0,,,,,,,,,,,,,,,,,3,3.3333333333333335,8.0,3,-4.666666666666666
