celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated,var_week_1,var_week_2,var_week_3,var_week_4,var_week_5,var_week_6,var_week_7,var_week_8,var_week_9,var_week_10,var_week_11,season_mean_week_variance,season_flag,avg_weekly_rank,final_rank_parsed,episodes_participated_parsed,rank_difference,season_flag_parsed,avg_agg_score,avg_week_variance
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7,7,6,,8,9,9,,9,8,7,,7,8,6,,9,9,9,,9,9,9,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,26.0,1.0,24.0,2.0,21.0,3.0,27.0,1.0,27.0,2.0,,,,,,,,,,,6,6.138888888888889,16.47222222222222,19.76,6.5,3.7222222222222228,0.0625,,,,,,8.775972222222222,True,1.6666666666666667,2.0,6,-0.33333333333333326,True,24.166666666666668,8.775972222222222
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5,4,4,,5,6,6,,6,7,8,,9,9,8,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,17.0,5.0,21.0,4.0,26.0,1.0,23.5,2.0,27.5,1.0,,,,,,,,,,,6,6.138888888888889,16.47222222222222,19.76,6.5,3.7222222222222228,0.0625,,,,,,8.775972222222222,True,3.1666666666666665,1.0,6,2.1666666666666665,True,21.333333333333332,8.775972222222222
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5,7,6,,5,4,5,,5,4,4,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,18.0,4.0,14.0,6.0,13.0,5.0,,,,,,,,,,,,,,,,,3,6.138888888888889,16.47222222222222,19.76,6.5,3.7222222222222228,0.0625,,,,,,8.775972222222222,True,5.0,5.0,3,0.0,True,15.0,8.775972222222222
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7,6,7,,8,8,8,,8,9,9,,7,9,9,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,24.0,2.0,26.0,1.0,25.0,2.0,,,,,,,,,,,,,,,4,6.138888888888889,16.47222222222222,19.76,6.5,3.7222222222222228,0.0625,,,,,,8.775972222222222,True,1.5,4.0,4,-2.5,True,23.75,8.775972222222222
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7,7,6,,8,7,6,,7,7,8,,7,6,7,,8.5,7,7,,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,21.0,3.0,22.0,3.0,20.0,4.0,22.5,3.0,,,,,,,,,,,,,5,6.138888888888889,16.47222222222222,19.76,6.5,3.7222222222222228,0.0625,,,,,,8.775972222222222,True,2.8,3.0,5,-0.20000000000000018,True,21.1,8.775972222222222
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6,6,6,,6,7,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,18.0,4.0,19.0,4.0,,,,,,,,,,,,,,,,,,,2,6.138888888888889,16.47222222222222,19.76,6.5,3.7222222222222228,0.0625,,,,,,8.775972222222222,True,4.0,6.0,2,-2.0,True,18.5,8.775972222222222
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7,8,8,,5,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,23.0,2.0,17.0,8.0,,,,,,,,,,,,,,,,,,,2,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,5.0,9.0,2,-4.0,True,20.0,14.408296702971152
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6,7,7,,7,8,7,,9,8,9,,9,8,8,,7,7,8,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,20.0,6.0,22.0,5.0,26.0,3.0,25.0,4.0,22.0,6.0,,,,,,,,,,,,,5,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,4.8,6.0,5,-1.2000000000000002,True,23.0,14.408296702971152
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7,5,6,,8,7,7,,7,7,8,,7,7,7,,8,8,8,,8,7,8,,0,0,0,,0,0,0,,,,,,,,,,,,,,18.0,8.0,22.0,5.0,22.0,5.0,21.0,6.0,24.0,4.0,23.0,4.0,,,,,,,,,,,6,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,5.333333333333333,5.0,6,0.33333333333333304,True,21.666666666666668,14.408296702971152
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5,7,7,,6,7,7,,8,8,9,,9,9,8,,7,9,9,,9,9,9,,8.5,9,9,,0,0,0,,,,,,,,,,,,,,19.0,7.0,20.0,7.0,25.0,4.0,26.0,2.0,25.0,3.0,27.0,3.0,26.5,3.0,,,,,,,,,7,15.45,15.950617283950615,17.9375,39.38775510204082,7.138888888888889,9.84,8.5,1.0616123488888864,,,,14.408296702971152,True,4.142857142857143,4.0,7,0.14285714285714324,True,24.071428571428573,14.408296702971152
