season,week,celebrity_name,ballroom_partner,celebrity_industry,age,results,placement,elim_week,J_total,active,J_sum_week,J_pct,eliminated,contestant_id,total_judge_score,judge_percent,exit_week
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,20.0,True,109.0,0.1834862385321101,False,1_John O'Hurley,20.0,0.1834862385321101,
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,26.0,True,121.0,0.2148760330578512,False,1_John O'Hurley,26.0,0.2148760330578512,
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,24.0,True,106.0,0.2264150943396226,False,1_John O'Hurley,24.0,0.2264150943396226,
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,21.0,True,92.0,0.2282608695652173,False,1_John O'Hurley,21.0,0.2282608695652173,
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,27.0,True,73.0,0.3698630136986301,False,1_John O'Hurley,27.0,0.3698630136986301,
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,27.0,True,54.5,0.4954128440366973,False,1_John O'Hurley,27.0,0.4954128440366973,
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,13.0,True,109.0,0.1192660550458715,False,1_Kelly Monaco,13.0,0.1192660550458715,
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,17.0,True,121.0,0.140495867768595,False,1_Kelly Monaco,17.0,0.140495867768595,
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,21.0,True,106.0,0.1981132075471698,False,1_Kelly Monaco,21.0,0.1981132075471698,
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,26.0,True,92.0,0.2826086956521739,False,1_Kelly Monaco,26.0,0.2826086956521739,
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,23.5,True,73.0,0.3219178082191781,False,1_Kelly Monaco,23.5,0.3219178082191781,
1,6,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,27.5,True,54.5,0.5045871559633027,False,1_Kelly Monaco,27.5,0.5045871559633027,
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,18.0,True,109.0,0.1651376146788991,False,1_Evander Holyfield,18.0,0.1651376146788991,3.0
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,14.0,True,121.0,0.1157024793388429,False,1_Evander Holyfield,14.0,0.1157024793388429,3.0
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,13.0,True,106.0,0.1226415094339622,True,1_Evander Holyfield,13.0,0.1226415094339622,3.0
1,4,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,0.0,False,92.0,0.0,False,1_Evander Holyfield,0.0,0.0,3.0
1,5,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,0.0,False,73.0,0.0,False,1_Evander Holyfield,0.0,0.0,3.0
1,6,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,0.0,False,54.5,0.0,False,1_Evander Holyfield,0.0,0.0,3.0
1,1,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,20.0,True,109.0,0.1834862385321101,False,1_Rachel Hunter,20.0,0.1834862385321101,4.0
1,2,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,24.0,True,121.0,0.1983471074380165,False,1_Rachel Hunter,24.0,0.1983471074380165,4.0
1,3,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,26.0,True,106.0,0.2452830188679245,False,1_Rachel Hunter,26.0,0.2452830188679245,4.0
1,4,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,25.0,True,92.0,0.2717391304347826,True,1_Rachel Hunter,25.0,0.2717391304347826,4.0
1,5,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,0.0,False,73.0,0.0,False,1_Rachel Hunter,0.0,0.0,4.0
1,6,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,0.0,False,54.5,0.0,False,1_Rachel Hunter,0.0,0.0,4.0
1,1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,3rd Place,3,,20.0,True,109.0,0.1834862385321101,False,1_Joey McIntyre,20.0,0.1834862385321101,
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,3rd Place,3,,21.0,True,121.0,0.1735537190082644,False,1_Joey McIntyre,21.0,0.1735537190082644,
1,3,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,3rd Place,3,,22.0,True,106.0,0.2075471698113207,False,1_Joey McIntyre,22.0,0.2075471698113207,
1,4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,3rd Place,3,,20.0,True,92.0,0.217391304347826,False,1_Joey McIntyre,20.0,0.217391304347826,
1,5,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,3rd Place,3,,22.5,True,73.0,0.3082191780821918,False,1_Joey McIntyre,22.5,0.3082191780821918,
1,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,3rd Place,3,,0.0,False,54.5,0.0,False,1_Joey McIntyre,0.0,0.0,
1,1,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated Week 2,6,2.0,18.0,True,109.0,0.1651376146788991,False,1_Trista Sutter,18.0,0.1651376146788991,2.0
1,2,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated Week 2,6,2.0,19.0,True,121.0,0.1570247933884297,True,1_Trista Sutter,19.0,0.1570247933884297,2.0
1,3,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated Week 2,6,2.0,0.0,False,106.0,0.0,False,1_Trista Sutter,0.0,0.0,2.0
1,4,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated Week 2,6,2.0,0.0,False,92.0,0.0,False,1_Trista Sutter,0.0,0.0,2.0
1,5,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated Week 2,6,2.0,0.0,False,73.0,0.0,False,1_Trista Sutter,0.0,0.0,2.0
1,6,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated Week 2,6,2.0,0.0,False,54.5,0.0,False,1_Trista Sutter,0.0,0.0,2.0
2,1,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,23.0,True,195.0,0.1179487179487179,False,2_Tatum O'Neal,23.0,0.1179487179487179,2.0
2,2,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,17.0,True,200.0,0.085,True,2_Tatum O'Neal,17.0,0.085,2.0
2,3,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,0.0,False,182.0,0.0,False,2_Tatum O'Neal,0.0,0.0,2.0
2,4,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,0.0,False,158.0,0.0,False,2_Tatum O'Neal,0.0,0.0,2.0
2,5,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,0.0,False,151.0,0.0,False,2_Tatum O'Neal,0.0,0.0,2.0
2,6,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,0.0,False,133.0,0.0,False,2_Tatum O'Neal,0.0,0.0,2.0
2,7,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,0.0,False,102.0,0.0,False,2_Tatum O'Neal,0.0,0.0,2.0
2,8,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,0.0,False,84.3329,0.0,False,2_Tatum O'Neal,0.0,0.0,2.0
2,1,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,20.0,True,195.0,0.1025641025641025,False,2_Tia Carrere,20.0,0.1025641025641025,5.0
2,2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,22.0,True,200.0,0.11,False,2_Tia Carrere,22.0,0.11,5.0
2,3,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,26.0,True,182.0,0.1428571428571428,False,2_Tia Carrere,26.0,0.1428571428571428,5.0
2,4,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,25.0,True,158.0,0.1582278481012658,False,2_Tia Carrere,25.0,0.1582278481012658,5.0
2,5,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,22.0,True,151.0,0.1456953642384106,True,2_Tia Carrere,22.0,0.1456953642384106,5.0
2,6,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,0.0,False,133.0,0.0,False,2_Tia Carrere,0.0,0.0,5.0
2,7,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,0.0,False,102.0,0.0,False,2_Tia Carrere,0.0,0.0,5.0
2,8,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,0.0,False,84.3329,0.0,False,2_Tia Carrere,0.0,0.0,5.0
2,1,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,18.0,True,195.0,0.0923076923076923,False,2_George Hamilton,18.0,0.0923076923076923,6.0
2,2,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,22.0,True,200.0,0.11,False,2_George Hamilton,22.0,0.11,6.0
2,3,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,22.0,True,182.0,0.1208791208791208,False,2_George Hamilton,22.0,0.1208791208791208,6.0
2,4,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,21.0,True,158.0,0.1329113924050632,False,2_George Hamilton,21.0,0.1329113924050632,6.0
2,5,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,24.0,True,151.0,0.1589403973509933,False,2_George Hamilton,24.0,0.1589403973509933,6.0
2,6,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,23.0,True,133.0,0.1729323308270676,True,2_George Hamilton,23.0,0.1729323308270676,6.0
2,7,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,0.0,False,102.0,0.0,False,2_George Hamilton,0.0,0.0,6.0
2,8,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,0.0,False,84.3329,0.0,False,2_George Hamilton,0.0,0.0,6.0
2,1,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,19.0,True,195.0,0.0974358974358974,False,2_Lisa Rinna,19.0,0.0974358974358974,7.0
