season,week,celebrity_name,ballroom_partner,celebrity_industry,age,results,placement,elim_week,J_total,active,J_sum_week,J_pct,eliminated,contestant_id
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,20.0,True,109.0,0.1834862385321101,False,1_John O'Hurley
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,26.0,True,121.0,0.21487603305785125,False,1_John O'Hurley
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,24.0,True,106.0,0.22641509433962265,False,1_John O'Hurley
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,21.0,True,92.0,0.22826086956521738,False,1_John O'Hurley
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,27.0,True,73.0,0.3698630136986301,False,1_John O'Hurley
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,27.0,True,54.5,0.4954128440366973,False,1_John O'Hurley
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,13.0,True,109.0,0.11926605504587157,False,1_Kelly Monaco
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,17.0,True,121.0,0.14049586776859505,False,1_Kelly Monaco
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,21.0,True,106.0,0.19811320754716982,False,1_Kelly Monaco
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,26.0,True,92.0,0.2826086956521739,False,1_Kelly Monaco
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,23.5,True,73.0,0.3219178082191781,False,1_Kelly Monaco
1,6,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,27.5,True,54.5,0.5045871559633027,False,1_Kelly Monaco
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,18.0,True,109.0,0.1651376146788991,False,1_Evander Holyfield
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,14.0,True,121.0,0.11570247933884298,False,1_Evander Holyfield
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,13.0,True,106.0,0.12264150943396226,True,1_Evander Holyfield
1,4,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,0.0,False,92.0,0.0,False,1_Evander Holyfield
1,5,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,0.0,False,73.0,0.0,False,1_Evander Holyfield
1,6,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,0.0,False,54.5,0.0,False,1_Evander Holyfield
