season,week,celebrity_name,ballroom_partner,results,placement,judge1_score,judge2_score,judge3_score,judge4_score,total_judge_score,judge_rank,judge_percent,active,true_elim_flag,exit_type,exit_week,data_anomaly_zero_score
1,1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,7.0,7.0,6.0,,20.0,2.0,0.1834862385321101,True,0,finished,6.0,False
1,1,Kelly Monaco,Alec Mazo,1st Place,1,5.0,4.0,4.0,,13.0,6.0,0.11926605504587157,True,0,finished,6.0,False
1,1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,5.0,7.0,6.0,,18.0,4.5,0.1651376146788991,True,0,eliminated,3.0,False
1,1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,7.0,6.0,7.0,,20.0,2.0,0.1834862385321101,True,0,eliminated,4.0,False
1,1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,7.0,7.0,6.0,,20.0,2.0,0.1834862385321101,True,0,finished,5.0,False
1,1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,6.0,6.0,6.0,,18.0,4.5,0.1651376146788991,True,0,eliminated,2.0,False
2,1,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,7.0,8.0,8.0,,23.0,2.5,0.11794871794871795,True,0,eliminated,2.0,False
2,1,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,6.0,7.0,7.0,,20.0,6.0,0.10256410256410256,True,0,eliminated,5.0,False
2,1,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,7.0,5.0,6.0,,18.0,8.0,0.09230769230769231,True,0,eliminated,6.0,False
2,1,Lisa Rinna,Louis van Amstel,Eliminated Week 7,4,5.0,7.0,7.0,,19.0,7.0,0.09743589743589744,True,0,eliminated,7.0,False
2,1,Stacy Keibler,Tony Dovolani,3rd Place,3,8.0,6.0,8.0,,22.0,4.0,0.11282051282051282,True,0,finished,8.0,False
2,1,Jerry Rice,Anna Trebunskaya,2nd Place,2,7.0,7.0,7.0,,21.0,5.0,0.1076923076923077,True,0,finished,8.0,False
2,1,Giselle Fernandez,Jonathan Roberts,Eliminated Week 3,8,7.0,8.0,8.0,,23.0,2.5,0.11794871794871795,True,0,eliminated,3.0,False
2,1,Master P,Ashly DelGrosso,Eliminated Week 4,7,4.0,4.0,4.0,,12.0,10.0,0.06153846153846154,True,0,eliminated,4.0,False
2,1,Drew Lachey,Cheryl Burke,1st Place,1,8.0,8.0,8.0,,24.0,1.0,0.12307692307692308,True,0,finished,8.0,False
2,1,Kenny Mayne,Andrea Hale,Eliminated Week 1,10,4.0,5.0,4.0,,13.0,9.0,0.06666666666666667,True,1,eliminated,1.0,False
3,1,Harry Hamlin,Ashly DelGrosso,Eliminated Week 3,9,5.0,6.0,6.0,,17.0,8.0,0.08018867924528301,True,0,eliminated,3.0,False
3,1,Vivica A. Fox,Nick Kosovich,Eliminated Week 4,8,6.0,8.0,8.0,,22.0,3.5,0.10377358490566038,True,0,eliminated,4.0,False
3,1,Monique Coleman,Louis van Amstel,Eliminated Week 8,4,6.0,6.0,7.0,,19.0,6.0,0.08962264150943396,True,0,eliminated,8.0,False
3,1,Joey Lawrence,Edyta Sliwinska,3rd Place,3,7.0,7.0,7.0,,21.0,5.0,0.09905660377358491,True,0,finished,9.0,False
3,1,Mario Lopez,Karina Smirnoff,2nd Place,2,9.0,8.0,9.0,,26.0,1.0,0.12264150943396226,True,0,finished,10.0,False
3,1,Emmitt Smith,Cheryl Burke,1st Place,1,8.0,8.0,8.0,,24.0,2.0,0.11320754716981132,True,0,finished,10.0,False
3,1,Shanna Moakler,Jesse DeSoto,Eliminated Week 2,10,7.0,5.0,6.0,,18.0,7.0,0.08490566037735849,True,0,eliminated,2.0,False
3,1,Willa Ford,Maksim Chmerkoskiy,Eliminated Week 5,7,7.0,7.0,8.0,,22.0,3.5,0.10377358490566038,True,0,eliminated,5.0,False
3,1,Sara Evans,Tony Dovolani,Withdrew,6,5.0,5.0,5.0,,15.0,10.0,0.07075471698113207,True,0,withdrew,5.0,False
3,1,Jerry Springer,Kym Johnson,Eliminated Week 7,5,5.0,5.0,6.0,,16.0,9.0,0.07547169811320754,True,0,eliminated,7.0,False
3,1,Tucker Carlson,Elena Grinenko,Eliminated Week 1,11,5.0,4.0,3.0,,12.0,11.0,0.05660377358490566,True,1,eliminated,1.0,False
4,1,John Ratzenberger,Edyta Sliwinska,Eliminated Week 7,6,6.0,5.0,6.0,,17.0,8.0,0.0825242718446602,True,0,eliminated,7.0,False
4,1,Ian Ziering,Cheryl Burke,Eliminated Week 9,4,7.0,7.0,7.0,,21.0,3.5,0.10194174757281553,True,0,eliminated,9.0,False
4,1,Clyde Drexler,Elena Grinenko,Eliminated Week 5,8,6.0,5.0,5.0,,16.0,9.0,0.07766990291262135,True,0,eliminated,5.0,False
4,1,Laila Ali,Maksim Chmerkoskiy,3rd Place,3,7.0,8.0,8.0,,23.0,2.0,0.11165048543689321,True,0,finished,10.0,False
4,1,Apolo Anton Ohno,Julianne Hough,1st Place,1,7.0,7.0,7.0,,21.0,3.5,0.10194174757281553,True,0,finished,10.0,False
4,1,Shandi Finnessey,Brian Fortuna,Eliminated Week 3,10,6.0,6.0,7.0,,19.0,5.5,0.09223300970873786,True,0,eliminated,3.0,False
4,1,Paulina Porizkova,Alec Mazo,Eliminated Week 2,11,6.0,6.0,7.0,,19.0,5.5,0.09223300970873786,True,0,eliminated,2.0,False
4,1,Heather Mills,Jonathan Roberts,Eliminated Week 6,7,6.0,6.0,6.0,,18.0,7.0,0.08737864077669903,True,0,eliminated,6.0,False
4,1,Billy Ray Cyrus,Karina Smirnoff,Eliminated Week 8,5,5.0,4.0,4.0,,13.0,11.0,0.06310679611650485,True,0,eliminated,8.0,False
4,1,Joey Fatone,Kym Johnson,2nd Place,2,8.0,8.0,8.0,,24.0,1.0,0.11650485436893204,True,0,finished,10.0,False
4,1,Leeza Gibbons,Tony Dovolani,Eliminated Week 4,9,5.0,5.0,5.0,,15.0,10.0,0.07281553398058252,True,0,eliminated,4.0,False
5,1,Cameron Mathison,Edyta Sliwinska,Eliminated Week 8,5,7.0,7.0,7.0,,21.0,7.0,0.08171206225680934,True,0,eliminated,8.0,False
5,1,Jane Seymour,Tony Dovolani,Eliminated Week 7,6,8.0,8.0,8.0,,24.0,3.5,0.0933852140077821,True,0,eliminated,7.0,False
5,1,Sabrina Bryan,Mark Ballas,Eliminated Week 6,7,9.0,8.0,9.0,,26.0,1.0,0.10116731517509728,True,0,eliminated,6.0,False
5,1,Jennie Garth,Derek Hough,Eliminated Week 9,4,7.0,7.0,7.0,,21.0,7.0,0.08171206225680934,True,0,eliminated,9.0,False
5,1,Floyd Mayweather Jr. ,Karina Smirnoff,Eliminated Week 4,9,6.0,6.0,6.0,,18.0,11.0,0.07003891050583658,True,0,eliminated,4.0,False
5,1,Josie Maran,Alec Mazo,Eliminated Week 1,12,6.0,5.0,5.0,,16.0,12.0,0.0622568093385214,True,1,eliminated,1.0,False
5,1,Albert Reed,Anna Trebunskaya,Eliminated Week 2,11,7.0,7.0,7.0,,21.0,7.0,0.08171206225680934,True,0,eliminated,2.0,False
5,1,Helio Castroneves,Julianne Hough,1st Place,1,8.0,9.0,8.0,,25.0,2.0,0.09727626459143969,True,0,finished,10.0,False
5,1,Mel B,Maksim Chmerkoskiy,2nd Place,2,8.0,8.0,8.0,,24.0,3.5,0.0933852140077821,True,0,finished,10.0,False
5,1,Wayne Newton,Cheryl Burke,Eliminated Week 3,10,6.0,7.0,6.0,,19.0,10.0,0.07392996108949416,True,0,eliminated,3.0,False
5,1,Marie Osmond,Jonathan Roberts,3rd Place,3,7.0,7.0,7.0,,21.0,7.0,0.08171206225680934,True,0,finished,10.0,False
5,1,Mark Cuban,Kym Johnson,Eliminated Week 5,8,7.0,7.0,7.0,,21.0,7.0,0.08171206225680934,True,0,eliminated,5.0,False
6,1,Cristian de la Fuente,Cheryl Burke,3rd Place,3,7.0,7.0,7.0,,21.0,6.5,0.08641975308641975,True,0,finished,10.0,False
6,1,Steve Guttenberg,Anna Trebunskaya,Eliminated Week 3,10,6.0,6.0,6.0,,18.0,8.5,0.07407407407407407,True,0,eliminated,3.0,False
6,1,Priscilla Presley,Louis van Amstel,Eliminated Week 5,8,8.0,8.0,8.0,,24.0,2.5,0.09876543209876543,True,0,eliminated,5.0,False
6,1,Marlee Matlin,Fabian Sanchez,Eliminated Week 6,7,7.0,7.0,8.0,,22.0,4.5,0.09053497942386832,True,0,eliminated,6.0,False
6,1,Shannon Elizabeth,Derek Hough,Eliminated Week 7,6,7.0,7.0,7.0,,21.0,6.5,0.08641975308641975,True,0,eliminated,7.0,False
6,1,Marissa Jaret Winokur,Tony Dovolani,Eliminated Week 9,4,6.0,6.0,6.0,,18.0,8.5,0.07407407407407407,True,0,eliminated,9.0,False
6,1,Jason Taylor,Edyta Sliwinska,2nd Place,2,7.0,8.0,7.0,,22.0,4.5,0.09053497942386832,True,0,finished,10.0,False
6,1,Kristi Yamaguchi,Mark Ballas,1st Place,1,9.0,9.0,9.0,,27.0,1.0,0.1111111111111111,True,0,finished,10.0,False
6,1,Monica Seles,Jonathan Roberts,Eliminated Week 2,11,5.0,5.0,5.0,,15.0,11.5,0.06172839506172839,True,0,eliminated,2.0,False
6,1,Penn Jillette,Kym Johnson,Eliminated Week 2,12,5.0,6.0,5.0,,16.0,10.0,0.06584362139917696,True,0,eliminated,2.0,False
6,1,Adam Carolla,Julianne Hough,Eliminated Week 4,9,5.0,5.0,5.0,,15.0,11.5,0.06172839506172839,True,0,eliminated,4.0,False
6,1,Mario,Karina Smirnoff,Eliminated Week 8,5,8.0,8.0,8.0,,24.0,2.5,0.09876543209876543,True,0,eliminated,8.0,False
7,1,Ted McGinley,Inna Brayer,Eliminated Week 1,12,6.0,6.0,6.5,,18.5,9.0,0.07341269841269842,True,1,eliminated,1.0,False
7,1,Cloris Leachman,Corky Ballas,Eliminated Week 6,7,6.0,5.0,5.0,,16.0,12.0,0.06349206349206349,True,0,eliminated,6.0,False
7,1,Susan Lucci,Tony Dovolani,Eliminated Week 7,6,6.0,6.0,6.5,,18.5,9.0,0.07341269841269842,True,0,eliminated,7.0,False
7,1,Cody Linley,Julianne Hough,Eliminated Week 9,4,7.0,6.5,7.0,,20.5,6.0,0.08134920634920635,True,0,eliminated,9.0,False
7,1,Misty May-Treanor,Maksim Chmerkoskiy,Withdrew,10,6.5,7.5,7.0,,21.0,5.0,0.08333333333333333,True,0,withdrew,2.0,False
7,1,Maurice Greene,Cheryl Burke,Eliminated Week 8,5,6.5,6.5,6.5,,19.5,7.0,0.07738095238095238,True,0,eliminated,8.0,False
7,1,Warren Sapp,Kym Johnson,2nd Place,2,7.0,7.0,7.5,,21.5,3.5,0.08531746031746032,True,0,finished,10.0,False
7,1,Jeffrey Ross,Edyta Sliwinska,Eliminated Week 1,13,4.0,4.0,4.0,,12.0,13.0,0.047619047619047616,True,1,eliminated,1.0,False
7,1,Toni Braxton,Alec Mazo,Eliminated Week 5,8,7.5,7.0,8.0,,22.5,2.0,0.08928571428571429,True,0,eliminated,5.0,False
7,1,Lance Bass,Lacey Schwimmer,3rd Place,3,7.5,6.0,8.0,,21.5,3.5,0.08531746031746032,True,0,finished,10.0,False
7,1,Kim Kardashian,Mark Ballas,Eliminated Week 2,11,6.0,6.5,6.0,,18.5,9.0,0.07341269841269842,True,0,eliminated,2.0,False
7,1,Rocco DiSpirito,Karina Smirnoff,Eliminated Week 4,9,6.0,5.5,6.0,,17.5,11.0,0.06944444444444445,True,0,eliminated,4.0,False
