    season  weeks  true_k_eq_0  true_k_gt_1  prop_zero  prop_gt1
0        1      6            3            0   0.500000  0.000000
1        2      8            1            0   0.125000  0.000000
2        3     10            3            0   0.300000  0.000000
3        4     10            2            0   0.200000  0.000000
4        5     10            1            0   0.100000  0.000000
5        6     10            2            1   0.200000  0.100000
6        7     10            2            1   0.200000  0.100000
7        8     11            2            1   0.181818  0.090909
8        9     10            1            3   0.100000  0.300000
9       10     10            2            0   0.200000  0.000000
10      11     10            1            0   0.100000  0.000000
11      12     10            2            0   0.200000  0.000000
12      13     10            1            0   0.100000  0.000000
13      14     10            2            1   0.200000  0.100000
14      15     10            3            3   0.300000  0.300000
15      16     10            2            0   0.200000  0.000000
16      17     11            2            0   0.181818  0.000000
17      18     10            3            1   0.300000  0.100000
18      19     11            1            0   0.090909  0.000000
19      20     10            2            1   0.200000  0.100000
20      21     11            4            1   0.363636  0.090909
21      22     10            3            2   0.300000  0.200000
22      23     11            2            1   0.181818  0.090909
23      24     10            2            1   0.200000  0.100000
24      25     10            2            2   0.200000  0.200000
25      26      4            1            3   0.250000  0.750000
26      27      9            2            2   0.222222  0.222222
27      28     11            4            0   0.363636  0.000000
28      29     11            2            1   0.181818  0.090909
29      30     10            2            3   0.200000  0.300000
30      31     10            1            2   0.100000  0.200000
31      32     11            2            0   0.181818  0.000000
32      33      9            3            2   0.333333  0.222222
33      34     11            3            1   0.272727  0.090909
