     season  rows  active_count  inactive_count
0         1    36            26              10
1         2    80            52              28
2         3   110            64              46
3         4   110            74              36
4         5   120            75              45
5         6   120            76              44
6         7   130            75              55
7         8   143            91              52
8         9   160            92              68
9        10   110            74              36
10       11   120            75              45
11       12   110            74              36
12       13   120            75              45
13       14   120            82              38
14       15   130            83              47
15       16   120            84              36
16       17   132            92              40
17       18   120            81              39
18       19   143            94              49
19       20   120            82              38
20       21   143            93              50
21       22   120            85              35
22       23   143            97              46
23       24   120            81              39
24       25   130            90              40
25       26    40            27              13
26       27   117            82              35
27       28   132            92              40
28       29   165           115              50
29       30   150           105              45
30       31   160           107              53
31       32   154           100              54
32       33   117            77              40
33       34   154           106              48
34  overall  4199          2778            1421
