    season  weeks  flips  flip_rate
0        1      6      3   0.500000
11      12     10      4   0.400000
2        3     10      4   0.400000
15      16     10      4   0.400000
14      15     10      4   0.400000
27      28     11      4   0.363636
20      21     11      4   0.363636
32      33      9      3   0.333333
24      25     10      3   0.300000
21      22     10      3   0.300000
19      20     10      3   0.300000
17      18     10      3   0.300000
33      34     11      3   0.272727
22      23     11      3   0.272727
31      32     11      3   0.272727
25      26      4      1   0.250000
26      27      9      2   0.222222
3        4     10      2   0.200000
29      30     10      2   0.200000
5        6     10      2   0.200000
13      14     10      2   0.200000
23      24     10      2   0.200000
6        7     10      2   0.200000
9       10     10      2   0.200000
7        8     11      2   0.181818
28      29     11      2   0.181818
16      17     11      2   0.181818
1        2      8      1   0.125000
8        9     10      1   0.100000
4        5     10      1   0.100000
30      31     10      1   0.100000
10      11     10      1   0.100000
12      13     10      1   0.100000
18      19     11      1   0.090909
