season,n_weeks,mean_num_judges,median_num_judges,std_num_judges
1,6,3.0,3.0,0.0
2,8,3.0,3.0,0.0
3,10,3.0,3.0,0.0
4,10,3.0,3.0,0.0
5,10,3.0,3.0,0.0
6,10,3.0,3.0,0.0
7,10,3.0,3.0,0.0
8,11,3.0,3.0,0.0
9,10,3.0,3.0,0.0
10,10,3.0,3.0,0.0
11,10,3.1,3.0,0.31622776601683794
12,10,3.1,3.0,0.31622776601683794
13,10,3.0,3.0,0.0
14,10,3.0,3.0,0.0
15,10,3.1,3.0,0.31622776601683805
16,10,3.0,3.0,0.0
17,11,3.090909090909091,3.0,0.30151134457776363
18,10,3.7,4.0,0.4830458915396479
19,11,4.0,4.0,0.0
20,10,4.0,4.0,0.0
21,11,3.272727272727273,3.0,0.4670993664969138
22,10,3.2,3.0,0.4216370213557839
23,11,3.6363636363636362,4.0,0.504524979109513
24,10,4.0,4.0,0.0
25,10,3.2,3.0,0.42163702135578385
26,4,3.5,3.5,0.5773502691896257
27,9,3.0,3.0,0.0
28,11,3.1818181818181817,3.0,0.40451991747794525
29,11,3.0,3.0,0.0
30,10,3.9,4.0,0.316227766016838
31,10,4.0,4.0,0.0
32,11,3.4545454545454546,3.0,0.5222329678670934
33,9,3.2222222222222223,3.0,0.4409585518440983
34,11,3.3636363636363638,3.0,0.6741998624632421
