      group  n_eligible  percent_hitrate  rank_hitrate
0   overall         335         0.507463      0.498507
1         1           6         0.666667      0.666667
2         2           8         0.500000      0.500000
3         3          10         0.600000      0.600000
4         4          10         0.500000      0.500000
5         5          10         0.400000      0.400000
6         6          10         0.600000      0.600000
7         7          10         0.500000      0.500000
8         8          11         0.454545      0.454545
9         9          10         0.500000      0.500000
10       10          10         0.700000      0.700000
11       11          10         0.500000      0.500000
12       12          10         0.500000      0.500000
13       13          10         0.600000      0.600000
14       14          10         0.600000      0.600000
15       15          10         0.400000      0.400000
16       16          10         0.800000      0.800000
17       17          11         0.363636      0.363636
18       18          10         0.400000      0.400000
19       19          11         0.454545      0.454545
20       20          10         0.300000      0.200000
21       21          11         0.636364      0.636364
22       22          10         0.600000      0.600000
23       23          11         0.545455      0.454545
24       24          10         0.500000      0.500000
25       25          10         0.400000      0.400000
26       26           4         0.500000      0.500000
27       27           9         0.222222      0.222222
28       28          11         0.636364      0.636364
29       29          11         0.545455      0.545455
30       30          10         0.600000      0.600000
31       31          10         0.400000      0.400000
32       32          11         0.454545      0.363636
33       33           9         0.555556      0.555556
34       34          11         0.363636      0.363636
