season,pct_true_k0,pct_true_k_gt1,n_weeks
1,0.5,0.0,6.0
2,0.125,0.0,8.0
3,0.3,0.0,10.0
4,0.2,0.0,10.0
5,0.1,0.0,10.0
6,0.2,0.1,10.0
7,0.2,0.1,10.0
8,0.18181818181818182,0.09090909090909091,11.0
9,0.1,0.3,10.0
10,0.2,0.0,10.0
11,0.1,0.0,10.0
12,0.2,0.0,10.0
13,0.1,0.0,10.0
14,0.2,0.1,10.0
15,0.3,0.3,10.0
16,0.2,0.0,10.0
17,0.18181818181818182,0.0,11.0
18,0.3,0.1,10.0
19,0.09090909090909091,0.0,11.0
20,0.2,0.1,10.0
21,0.36363636363636365,0.09090909090909091,11.0
22,0.3,0.2,10.0
23,0.18181818181818182,0.09090909090909091,11.0
24,0.2,0.1,10.0
25,0.2,0.2,10.0
26,0.25,0.75,4.0
27,0.2222222222222222,0.2222222222222222,9.0
28,0.36363636363636365,0.0,11.0
29,0.18181818181818182,0.09090909090909091,11.0
30,0.2,0.3,10.0
31,0.1,0.2,10.0
32,0.18181818181818182,0.0,11.0
33,0.3333333333333333,0.2222222222222222,9.0
34,0.2727272727272727,0.09090909090909091,11.0
