column,n_nonnull,n_unique,dtype
celebrity_name,421,408,str
ballroom_partner,421,60,str
celebrity_industry,421,26,str
celebrity_homestate,365,45,str
celebrity_homecountry/region,421,26,str
celebrity_age_during_season,421,62,int64
season,421,34,int64
results,421,17,str
placement,421,16,int64
week1_judge1_score,421,15,float64
week1_judge2_score,421,20,float64
week1_judge3_score,407,17,float64
week1_judge4_score,81,7,float64
week2_judge1_score,421,12,float64
week2_judge2_score,421,14,float64
week2_judge3_score,421,13,float64
week2_judge4_score,91,10,float64
week3_judge1_score,421,14,float64
week3_judge2_score,421,16,float64
week3_judge3_score,421,14,float64
week3_judge4_score,128,13,float64
week4_judge1_score,421,13,float64
week4_judge2_score,421,15,float64
week4_judge3_score,421,15,float64
week4_judge4_score,130,12,float64
week5_judge1_score,411,20,float64
week5_judge2_score,411,20,float64
week5_judge3_score,411,21,float64
week5_judge4_score,119,17,float64
week6_judge1_score,411,29,float64
week6_judge2_score,411,26,float64
week6_judge3_score,411,31,float64
week6_judge4_score,147,14,float64
week7_judge1_score,405,23,float64
week7_judge2_score,405,22,float64
week7_judge3_score,405,23,float64
week7_judge4_score,144,15,float64
week8_judge1_score,405,24,float64
week8_judge2_score,405,25,float64
week8_judge3_score,405,24,float64
week8_judge4_score,108,15,float64
week9_judge1_score,395,22,float64
week9_judge2_score,395,22,float64
week9_judge3_score,395,20,float64
week9_judge4_score,133,11,float64
week10_judge1_score,369,15,float64
week10_judge2_score,369,16,float64
week10_judge3_score,369,18,float64
week10_judge4_score,93,6,float64
week11_judge1_score,119,10,float64
week11_judge2_score,119,10,float64
week11_judge3_score,119,9,float64
week11_judge4_score,26,5,float64
