season,method,week,m,active_count,elim_pred
5,professional_bottom_two,1,1,12,Albert Reed
5,professional_bottom_two,2,1,11,Cameron Mathison
5,professional_bottom_two,3,1,10,Floyd Mayweather Jr. 
5,professional_bottom_two,4,1,9,Jane Seymour
5,professional_bottom_two,5,1,8,Jennie Garth
5,professional_bottom_two,6,1,7,Josie Maran
5,professional_bottom_two,7,1,6,Helio Castroneves
5,professional_bottom_two,8,1,5,Mark Cuban
5,professional_bottom_two,9,1,4,Marie Osmond
5,professional_bottom_two,10,0,3,
