season,week,note
28,1,not_single_elim
28,2,bottom_tie_more_than_two
28,3,not_single_elim
28,4,bottom_tie_more_than_two
28,5,not_single_elim
28,6,bottom_tie_more_than_two
28,7,bottom_tie_more_than_two
28,8,bottom_tie_more_than_two
28,9,bottom_tie_more_than_two
28,10,bottom_tie_more_than_two
28,11,not_single_elim
29,1,not_single_elim
29,2,bottom_tie_more_than_two
29,3,bottom_tie_more_than_two
29,4,bottom_tie_more_than_two
29,5,bottom_tie_more_than_two
29,6,bottom_tie_more_than_two
29,7,bottom_tie_more_than_two
29,8,bottom_tie_more_than_two
29,9,bottom_tie_more_than_two
29,10,not_single_elim
29,11,not_single_elim
30,1,not_single_elim
30,2,bottom_tie_more_than_two
30,3,bottom_tie_more_than_two
30,4,not_single_elim
30,5,bottom_tie_more_than_two
30,6,bottom_tie_more_than_two
30,7,bottom_tie_more_than_two
30,8,not_single_elim
30,9,not_single_elim
30,10,not_single_elim
31,1,bottom_tie_more_than_two
31,2,bottom_tie_more_than_two
31,3,bottom_tie_more_than_two
31,4,bottom_tie_more_than_two
31,5,bottom_tie_more_than_two
31,6,bottom_tie_more_than_two
31,7,bottom_tie_more_than_two
31,8,not_single_elim
31,9,not_single_elim
31,10,not_single_elim
32,1,bottom_tie_more_than_two
32,2,bottom_tie_more_than_two
32,3,bottom_tie_more_than_two
32,4,bottom_tie_more_than_two
32,5,bottom_tie_more_than_two
32,6,bottom_tie_more_than_two
32,7,bottom_tie_more_than_two
32,8,bottom_tie_more_than_two
32,9,bottom_tie_more_than_two
32,10,not_single_elim
32,11,not_single_elim
33,1,not_single_elim
33,2,not_single_elim
33,3,not_single_elim
33,4,bottom_tie_more_than_two
33,5,bottom_tie_more_than_two
33,6,bottom_tie_more_than_two
33,7,bottom_tie_more_than_two
33,8,not_single_elim
33,9,not_single_elim
34,1,not_single_elim
34,2,not_single_elim
34,3,bottom_tie_more_than_two
34,4,bottom_tie_more_than_two
34,5,not_single_elim
34,6,bottom_tie_more_than_two
34,7,bottom_tie_more_than_two
34,8,bottom_tie_more_than_two
34,9,bottom_tie_more_than_two
34,10,bottom_tie_more_than_two
34,11,not_single_elim
