season,week,group,elim,elim_score,saved,saved_score,saved_is_higher,delta
1,3,other,Evander Holyfield,0.1651376146788991,Kelly Monaco,0.1192660550458715,0,-0.045871559633027595
3,1,early,Tucker Carlson,0.0566037735849056,Sara Evans,0.070754716981132,1,0.014150943396226405
4,4,early,Leeza Gibbons,0.0728155339805825,Billy Ray Cyrus,0.0631067961165048,0,-0.009708737864077707
4,8,early,Billy Ray Cyrus,0.0631067961165048,Leeza Gibbons,0.0728155339805825,1,0.009708737864077707
5,1,early,Josie Maran,0.0622568093385214,Wayne Newton,0.0739299610894941,1,0.011673151750972693
5,3,early,Wayne Newton,0.0739299610894941,Josie Maran,0.0622568093385214,0,-0.011673151750972693
6,4,early,Adam Carolla,0.0617283950617283,Monica Seles,0.0617283950617283,0,0.0
7,6,early,Cloris Leachman,0.0634920634920634,Jeffrey Ross,0.0476190476190476,0,-0.015873015873015803
11,1,early,David Hasselhoff,0.066079295154185,Michael Bolton,0.0704845814977973,1,0.0044052863436123
11,2,early,Michael Bolton,0.0704845814977973,David Hasselhoff,0.066079295154185,0,-0.0044052863436123
12,2,early,Mike Catherwood,0.0628019323671497,Wendy Williams,0.0676328502415458,1,0.004830917874396101
12,3,early,Wendy Williams,0.0676328502415458,Mike Catherwood,0.0628019323671497,0,-0.004830917874396101
13,1,early,Metta World Peace (Ron),0.064516129032258,Elisabetta Canalis,0.0691244239631336,1,0.004608294930875612
13,2,early,Elisabetta Canalis,0.0691244239631336,Metta World Peace (Ron),0.064516129032258,0,-0.004608294930875612
14,2,early,Martina Navratilova,0.074074074074074,Gladys Knight,0.0851851851851851,1,0.0111111111111111
14,6,early,Gladys Knight,0.0851851851851851,Martina Navratilova,0.074074074074074,0,-0.0111111111111111
15,1,early,Pamela Anderson,0.0614828209764918,Bristol Palin,0.0705244122965642,1,0.0090415913200724
15,4,early,Bristol Palin,0.0705244122965642,Pamela Anderson,0.0614828209764918,0,-0.0090415913200724
16,5,early,D. L. Hughley,0.0524017467248908,Dorothy Hamill,0.0917030567685589,1,0.0393013100436681
19,1,early,Lolo Jones,0.0591397849462365,Betsey Johnson,0.053763440860215,0,-0.005376344086021501
19,4,early,Betsey Johnson,0.053763440860215,Lolo Jones,0.0591397849462365,1,0.005376344086021501
20,3,early,Charlotte McKinney,0.0691823899371069,Chris Soules,0.0817610062893081,1,0.0125786163522012
24,2,early,Chris Kattan,0.0562913907284768,Mr. T,0.0662251655629139,1,0.009933774834437095
24,4,early,Mr. T,0.0662251655629139,Chris Kattan,0.0562913907284768,0,-0.009933774834437095
31,1,late,Jason Lewis,0.0471204188481675,Vinny Guadagnino,0.0445026178010471,0,-0.002617801047120401
32,6,late,Mauricio Umansky,0.0649350649350649,Harry Jowsey,0.0519480519480519,0,-0.012987012987012998
32,9,late,Harry Jowsey,0.0519480519480519,Mauricio Umansky,0.0649350649350649,1,0.012987012987012998
34,9,late,Andy Richter,0.0548780487804878,Corey Feldman,0.0548780487804878,0,0.0
