season,checks,violations,max_violation
1,12,5,0.5271739130434783
2,42,5,0.02941176470588236
3,47,22,0.51010101010101
4,52,17,0.5117647058823529
5,63,16,0.5126050420168067
6,62,16,0.5056179775280899
7,65,20,0.11992271827672851
8,74,11,0.011811023622047244
9,103,14,0.021266492119718677
10,52,12,0.2913969291580957
11,63,12,0.3597937094192704
12,52,14,0.5115384615384615
13,63,16,0.5023923444976076
14,62,32,0.5054495912806539
15,72,29,0.5077433628318584
16,52,9,0.15021778227311772
17,63,28,0.5127659574468085
18,53,7,0.013082297865809
19,75,31,0.5151869158878505
20,62,25,0.5144092219020173
21,60,24,0.5167173252279635
22,61,19,0.514792899408284
23,74,23,0.5074626939927304
24,62,16,0.5120817843866171
25,73,42,0.5058139534883721
26,37,6,0.00654205607476635
27,70,29,0.5109170305676856
28,50,17,0.5155435877454414
29,90,18,0.5055970149253731
30,96,22,0.5103896103896104
31,102,19,0.16882301630239058
32,81,29,0.5084033613445378
33,66,17,0.44149173964561494
34,80,18,0.5100806451612904
