season,celebrity_name,week,p_est
1,Evander Holyfield,1,0.16083980093132794
1,Joey McIntyre,1,0.18271681905465492
1,John O'Hurley,1,0.18601115629147202
1,Kelly Monaco,1,0.12131091566862863
1,Rachel Hunter,1,0.18488295322372472
1,Trista Sutter,1,0.16423835483019172
1,Evander Holyfield,2,0.11789186252434913
1,Joey McIntyre,2,0.17490098059759532
1,John O'Hurley,2,0.21128868978363796
1,Kelly Monaco,2,0.14175106015847722
1,Rachel Hunter,2,0.19884508729157954
1,Trista Sutter,2,0.15532231964436083
1,Evander Holyfield,3,0.12279762616431991
1,Joey McIntyre,3,0.20643684890044572
1,John O'Hurley,3,0.22656316674021731
1,Kelly Monaco,3,0.20052505566296303
1,Rachel Hunter,3,0.24367730253205402
1,Joey McIntyre,4,0.22031365551968013
1,John O'Hurley,4,0.23682759825882582
1,Kelly Monaco,4,0.27692040507695237
1,Rachel Hunter,4,0.2659383411445417
1,Joey McIntyre,5,0.29922121119534656
1,John O'Hurley,5,0.36848720902205795
1,Kelly Monaco,5,0.33229157978259544
1,John O'Hurley,6,0.4974705899607295
1,Kelly Monaco,6,0.5025294100392704
2,Drew Lachey,1,0.12356314878216695
2,George Hamilton,1,0.09326474486843694
2,Giselle Fernandez,1,0.11747560598500566
2,Jerry Rice,1,0.10764255438936786
2,Kenny Mayne,1,0.06600874054533905
2,Lisa Rinna,1,0.09733948477546533
2,Master P,1,0.062307786317032925
2,Stacy Keibler,1,0.11494101037179545
2,Tatum O'Neal,1,0.11461879576869606
2,Tia Carrere,1,0.10283812819669384
2,Drew Lachey,2,0.13502970559881436
2,George Hamilton,2,0.10933521165764264
2,Giselle Fernandez,2,0.11965529847001044
2,Jerry Rice,2,0.11367942627327704
2,Lisa Rinna,2,0.10263747863824613
2,Master P,2,0.07783724591408213
2,Stacy Keibler,2,0.14262784738923914
2,Tatum O'Neal,2,0.08737329435408883
2,Tia Carrere,2,0.11182449170459934
2,Drew Lachey,3,0.14918636417178
2,George Hamilton,3,0.12072370304148548
2,Giselle Fernandez,3,0.12044509689312728
2,Jerry Rice,3,0.10850342305276639
2,Lisa Rinna,3,0.1362588048446608
2,Master P,3,0.0747729121363645
2,Stacy Keibler,3,0.1490586061087103
2,Tia Carrere,3,0.1410510897511051
2,Drew Lachey,4,0.17600472217890023
