season,celebrity_name,week,p_est
1,Evander Holyfield,1,2.710505431213761e-20
1,Joey McIntyre,1,0.00023967174013866163
1,John O'Hurley,1,0.49964204751581304
1,Kelly Monaco,1,0.49964447560255126
1,Rachel Hunter,1,0.0
1,Trista Sutter,1,0.0004738051414970545
1,Evander Holyfield,2,0.00012462288294686006
1,Joey McIntyre,2,0.0002124078795824277
1,John O'Hurley,2,0.4998073092232755
1,Kelly Monaco,2,0.4998005372475297
1,Rachel Hunter,2,1.3552527156068805e-19
1,Trista Sutter,2,5.5122766665610234e-05
1,Evander Holyfield,3,8.131516293641283e-20
1,Joey McIntyre,3,0.00034567447235544124
1,John O'Hurley,3,0.49978702419995835
1,Kelly Monaco,3,0.4997966009066865
1,Rachel Hunter,3,7.070042099973511e-05
1,Joey McIntyre,4,0.00025118007113407014
1,John O'Hurley,4,0.4998793850286214
1,Kelly Monaco,4,0.4998694349002445
1,Rachel Hunter,4,0.0
1,Joey McIntyre,5,1.6044899038615036e-06
1,John O'Hurley,5,0.4999954380779809
1,Kelly Monaco,5,0.5000029574321152
1,John O'Hurley,6,0.5000014008601013
1,Kelly Monaco,6,0.49999859913989886
2,Drew Lachey,1,0.3329740445765933
2,George Hamilton,1,0.0
2,Giselle Fernandez,1,0.0003380761380028979
2,Jerry Rice,1,0.3329727542797373
2,Kenny Mayne,1,0.0
2,Lisa Rinna,1,0.0
2,Master P,1,0.0
2,Stacy Keibler,1,0.3329882842352592
2,Tatum O'Neal,1,6.098637220230962e-20
2,Tia Carrere,1,0.0007268407704073958
2,Drew Lachey,2,0.3329852878215508
2,George Hamilton,2,1.7611790061334214e-05
2,Giselle Fernandez,2,0.00018515300034502676
2,Jerry Rice,2,0.3329892657701028
2,Lisa Rinna,2,6.41515532046706e-06
2,Master P,2,0.00022447782275716703
2,Stacy Keibler,2,0.332944381683005
2,Tatum O'Neal,2,8.218806585388642e-06
2,Tia Carrere,2,0.0006391881502720947
2,Drew Lachey,3,0.3329269122843184
2,George Hamilton,3,0.0
2,Giselle Fernandez,3,0.0
2,Jerry Rice,3,0.33292020561197183
2,Lisa Rinna,3,0.0
2,Master P,3,0.00033518974905884577
2,Stacy Keibler,3,0.33298913598012153
2,Tia Carrere,3,0.0008285563745294359
2,Drew Lachey,4,0.3330717493905239
2,George Hamilton,4,0.0
2,Jerry Rice,4,0.3330806324222238
2,Lisa Rinna,4,0.00011060226257721664
2,Master P,4,5.421010862427522e-20
2,Stacy Keibler,4,0.33299673596180823
2,Tia Carrere,4,0.0007402799628667839
2,Drew Lachey,5,0.33313833114757235
2,George Hamilton,5,8.239057625845908e-06
2,Jerry Rice,5,0.33312864393457825
2,Lisa Rinna,5,9.675690583391475e-05
2,Stacy Keibler,5,0.3332151769062104
2,Tia Carrere,5,0.00041285204817923844
2,Drew Lachey,6,0.3332356098424358
2,George Hamilton,6,0.00022720927560939213
2,Jerry Rice,6,0.33324425771672467
2,Lisa Rinna,6,0.00012396566815019446
2,Stacy Keibler,6,0.33316895749708
2,Drew Lachey,7,0.3332398200213707
2,Jerry Rice,7,0.33323390544587117
2,Lisa Rinna,7,0.00024111980866349072
2,Stacy Keibler,7,0.3332851547240947
2,Drew Lachey,8,0.3333379945807023
2,Jerry Rice,8,0.33334008694112904
2,Stacy Keibler,8,0.3333219184781687
3,Emmitt Smith,1,0.49867087811519656
3,Harry Hamlin,1,0.0
3,Jerry Springer,1,3.2526065174565133e-19
3,Joey Lawrence,1,0.002657359923934095
3,Mario Lopez,1,0.4986717619608692
3,Monique Coleman,1,1.3552527156068805e-19
3,Sara Evans,1,0.0
3,Shanna Moakler,1,0.0
3,Tucker Carlson,1,3.049318610115481e-20
