season,celebrity_name,week,p_est
1,Evander Holyfield,1,0.041507056343059366
1,Joey McIntyre,1,0.04064009809619796
1,John O'Hurley,1,0.4589265291480392
1,Kelly Monaco,1,0.4589263164127034
1,Rachel Hunter,1,0.0
1,Trista Sutter,1,0.0
1,Evander Holyfield,2,0.041322314049586764
1,Joey McIntyre,2,0.04070530259623889
1,John O'Hurley,2,0.45898590502745173
1,Kelly Monaco,2,0.4589864783267226
1,Rachel Hunter,2,0.0
1,Trista Sutter,2,1.3577155634858134e-17
1,Evander Holyfield,3,0.0330546483358726
1,Joey McIntyre,3,0.043436781896678656
1,John O'Hurley,3,0.46175467137658427
1,Kelly Monaco,3,0.46175389839086445
1,Rachel Hunter,3,0.0
1,Joey McIntyre,4,0.054347826086956506
1,John O'Hurley,4,0.47282570680074265
1,Kelly Monaco,4,0.47282646711230075
1,Rachel Hunter,4,0.0
1,Joey McIntyre,5,0.04069937910973422
1,John O'Hurley,5,0.4796505862694515
1,Kelly Monaco,5,0.4796500346208143
1,John O'Hurley,6,0.4999999000136462
1,Kelly Monaco,6,0.5000000999863539
2,Drew Lachey,1,0.31849568598817374
2,George Hamilton,1,0.0
2,Giselle Fernandez,1,0.0
2,Jerry Rice,1,0.31849197590701794
2,Kenny Mayne,1,1.3552527156068805e-19
2,Lisa Rinna,1,0.0
2,Master P,1,0.04399192830030522
2,Stacy Keibler,1,0.3184925475932713
2,Tatum O'Neal,1,0.0005278622112318609
2,Tia Carrere,1,0.0
2,Drew Lachey,2,0.31860649594310275
2,George Hamilton,2,9.318154850942843e-05
2,Giselle Fernandez,2,0.0
2,Jerry Rice,2,0.31861727516725824
2,Lisa Rinna,2,1.85944053276635e-06
2,Master P,2,0.04399832734979887
2,Stacy Keibler,2,0.31861563182891484
2,Tatum O'Neal,2,0.0
2,Tia Carrere,2,6.722872188313472e-05
2,Drew Lachey,3,0.3186916318391642
2,George Hamilton,3,0.0
2,Giselle Fernandez,3,0.0
2,Jerry Rice,3,0.3186749139978614
2,Lisa Rinna,3,0.0
2,Master P,3,0.043956043956043966
2,Stacy Keibler,3,0.3186774102069303
2,Tia Carrere,3,0.0
2,Drew Lachey,4,0.3204977688477041
2,George Hamilton,4,0.0
2,Jerry Rice,4,0.32051839500547064
2,Lisa Rinna,4,0.0
2,Master P,4,0.038468449625580575
2,Stacy Keibler,4,0.3205153865212446
2,Tia Carrere,4,0.0
2,Drew Lachey,5,0.3278725939270728
2,George Hamilton,5,0.005446847738957159
2,Jerry Rice,5,0.3278509881818656
2,Lisa Rinna,5,0.005458736031682756
2,Stacy Keibler,5,0.3278540666151762
2,Tia Carrere,5,0.005516767505245315
2,Drew Lachey,6,0.3296449540716449
2,George Hamilton,6,0.005504964310065874
2,Jerry Rice,6,0.3296640398538634
2,Lisa Rinna,6,0.0055246696483734785
2,Stacy Keibler,6,0.32966137211605234
2,Drew Lachey,7,0.3314939470464307
2,Jerry Rice,7,0.33148080206652153
2,Lisa Rinna,7,0.005542638322277017
2,Stacy Keibler,7,0.3314826125647708
2,Drew Lachey,8,0.3333304198445239
2,Jerry Rice,8,0.3333351110844345
2,Stacy Keibler,8,0.33333446907104164
3,Emmitt Smith,1,0.4758512144023332
3,Harry Hamlin,1,0.004315775321637354
3,Jerry Springer,1,0.014264583317942406
3,Joey Lawrence,1,0.008650219086048773
3,Mario Lopez,1,0.4758512398787464
3,Monique Coleman,1,5.231990309841687e-05
3,Sara Evans,1,0.01921357764712399
3,Shanna Moakler,1,2.512570198425731e-18
3,Tucker Carlson,1,4.0733511682636004e-05
3,Vivica A. Fox,1,1.3624269753084885e-18
3,Willa Ford,1,0.0017603369313868298
3,Emmitt Smith,2,0.47582102140583804
3,Harry Hamlin,2,0.0043478260869565235
3,Jerry Springer,2,0.014281328265903675
3,Joey Lawrence,2,0.00865743292413469
3,Mario Lopez,2,0.4758209472190653
3,Monique Coleman,2,2.2950410842951818e-05
3,Sara Evans,2,0.019297680997315825
3,Shanna Moakler,2,4.674738763802357e-19
3,Vivica A. Fox,2,1.8990934949411597e-18
3,Willa Ford,2,0.0017508126899429995
3,Emmitt Smith,3,0.4761267303085905
