season,celebrity_name,week,p_est
1,Evander Holyfield,1,0.00016296308574992356
1,Joey McIntyre,1,5.421010862427522e-20
1,John O'Hurley,1,0.49973440129833724
1,Kelly Monaco,1,0.4997328562566156
1,Rachel Hunter,1,0.0
1,Trista Sutter,1,0.0003697793592972822
1,Evander Holyfield,2,0.0003873288150091083
1,Joey McIntyre,2,2.168404344971009e-19
1,John O'Hurley,2,0.4996312278316057
1,Kelly Monaco,2,0.49963554548014727
1,Rachel Hunter,2,0.00011299158592028354
1,Trista Sutter,2,0.00023290628731770506
1,Evander Holyfield,3,0.0004226181041722451
1,Joey McIntyre,3,6.50082358662107e-05
1,John O'Hurley,3,0.49975924957134477
1,Kelly Monaco,3,0.4997531240886168
1,Rachel Hunter,3,0.0
1,Joey McIntyre,4,0.00016378998783339756
1,John O'Hurley,4,0.49989681947109
1,Kelly Monaco,4,0.4999032096204412
1,Rachel Hunter,4,3.618092063544339e-05
1,Joey McIntyre,5,0.0001993177927887824
1,John O'Hurley,5,0.49990276417962265
1,Kelly Monaco,5,0.49989791802758865
1,John O'Hurley,6,0.4999990951198098
1,Kelly Monaco,6,0.5000009048801902
2,Drew Lachey,1,0.3329357189672712
2,George Hamilton,1,4.799467207782005e-05
2,Giselle Fernandez,1,0.0002219916694399965
2,Jerry Rice,1,0.3329404308718707
2,Kenny Mayne,1,1.984542507953944e-19
2,Lisa Rinna,1,0.0005062386899380851
2,Master P,1,0.00018991039813141147
2,Stacy Keibler,1,0.3329395390600582
2,Tatum O'Neal,1,0.00016753677497285984
2,Tia Carrere,1,5.063889623974058e-05
2,Drew Lachey,2,0.33296679130922796
2,George Hamilton,2,1.3575427297686229e-05
2,Giselle Fernandez,2,0.0001301433196533747
2,Jerry Rice,2,0.33295339052785766
2,Lisa Rinna,2,0.0006157081211277692
2,Master P,2,0.00021498373408862905
2,Stacy Keibler,2,0.3329559382046182
2,Tatum O'Neal,2,0.00013539907683991464
2,Tia Carrere,2,1.4070279288748704e-05
2,Drew Lachey,3,0.33297688567548855
2,George Hamilton,3,4.900793683626866e-05
2,Giselle Fernandez,3,0.00014493182861227656
2,Jerry Rice,3,0.33299688271628414
2,Lisa Rinna,3,0.0006252066457146228
2,Master P,3,0.00019234811319229347
2,Stacy Keibler,3,0.33299305550527364
2,Tia Carrere,3,2.168157859818184e-05
2,Drew Lachey,4,0.3330819912377344
2,George Hamilton,4,7.925005555581021e-07
2,Jerry Rice,4,0.3330584876705221
2,Lisa Rinna,4,0.0005897513064535699
2,Master P,4,0.00017576096956656393
2,Stacy Keibler,4,0.33306302924649894
2,Tia Carrere,4,3.0187068668834698e-05
2,Drew Lachey,5,0.33309695329410216
2,George Hamilton,5,0.0001025993580397207
2,Jerry Rice,5,0.3331203632792095
2,Lisa Rinna,5,0.000564290465065074
2,Stacy Keibler,5,0.33311579360358357
2,Tia Carrere,5,0.0
2,Drew Lachey,6,0.3331509900808867
2,George Hamilton,6,0.00012017975411480244
2,Jerry Rice,6,0.3331312135138918
2,Lisa Rinna,6,0.0004625037972112864
2,Stacy Keibler,6,0.33313511285389535
2,Drew Lachey,7,0.33319252250263165
2,Jerry Rice,7,0.3332056996521358
2,Lisa Rinna,7,0.0003986954747029334
2,Stacy Keibler,7,0.33320308237052965
2,Drew Lachey,8,0.333336106882914
2,Jerry Rice,8,0.33333148535112456
2,Stacy Keibler,8,0.33333240776596146
3,Emmitt Smith,1,0.4986885371818634
3,Harry Hamlin,1,3.4539759473877906e-19
3,Jerry Springer,1,1.5449880957918438e-18
3,Joey Lawrence,1,0.0025661605166149154
3,Mario Lopez,1,0.4986902827628649
3,Monique Coleman,1,0.0
3,Sara Evans,1,2.7509765853095185e-05
3,Shanna Moakler,1,0.0
3,Tucker Carlson,1,0.0
3,Vivica A. Fox,1,0.0
3,Willa Ford,1,2.750977280379071e-05
3,Emmitt Smith,2,0.4986338142506336
3,Harry Hamlin,2,3.7947076036992655e-19
3,Jerry Springer,2,0.0002442810456577
3,Joey Lawrence,2,0.0024931519492301436
3,Mario Lopez,2,0.4986287527544786
3,Monique Coleman,2,0.0
3,Sara Evans,2,1.1858461261560205e-19
3,Shanna Moakler,2,0.0
3,Vivica A. Fox,2,0.0
3,Willa Ford,2,5.082197683525802e-20
3,Emmitt Smith,3,0.4987700483650967
3,Harry Hamlin,3,1.0170085853687828e-19
3,Jerry Springer,3,8.491238740184177e-05
