season,celebrity_name,week,p_est
1,Evander Holyfield,1,0.14703630012574573
1,Joey McIntyre,1,0.16656808652219923
1,John O'Hurley,1,0.19544814629753288
1,Kelly Monaco,1,0.1818203107959051
1,Rachel Hunter,1,0.16611189577303057
1,Trista Sutter,1,0.14301526048558644
1,Evander Holyfield,2,0.13942852383182172
1,Joey McIntyre,2,0.16514894130946664
1,John O'Hurley,2,0.2048544162169773
1,Kelly Monaco,2,0.19260307753479644
1,Rachel Hunter,2,0.16449151842215207
1,Trista Sutter,2,0.13347352268478585
1,Evander Holyfield,3,0.1478722163126016
1,Joey McIntyre,3,0.18530927682062714
1,John O'Hurley,3,0.24663411346909805
1,Kelly Monaco,3,0.23876778494284912
1,Rachel Hunter,3,0.18141660845482407
1,Joey McIntyre,4,0.20312417408916833
1,John O'Hurley,4,0.3045530018856979
1,Kelly Monaco,4,0.3014360966108767
1,Rachel Hunter,4,0.1908867274142571
1,Joey McIntyre,5,0.22094684199084252
1,John O'Hurley,5,0.39200050593699093
1,Kelly Monaco,5,0.38705265207216655
1,John O'Hurley,6,0.5015855915216947
1,Kelly Monaco,6,0.4984144084783053
2,Drew Lachey,1,0.10978264559497342
2,George Hamilton,1,0.10118868105253641
2,Giselle Fernandez,1,0.09985846272654746
2,Jerry Rice,1,0.10540155207110741
2,Kenny Mayne,1,0.08210265294553258
2,Lisa Rinna,1,0.10277557313891218
2,Master P,1,0.09302986616105782
2,Stacy Keibler,1,0.10925943511813625
2,Tatum O'Neal,1,0.0945753115913796
2,Tia Carrere,1,0.10202581959981692
2,Drew Lachey,2,0.12146431410029217
2,George Hamilton,2,0.11103638232016395
2,Giselle Fernandez,2,0.10642375793994188
2,Jerry Rice,2,0.11610349768682886
2,Lisa Rinna,2,0.11313588422893157
2,Master P,2,0.10103387203435091
2,Stacy Keibler,2,0.12166598885076495
2,Tatum O'Neal,2,0.09777089348985155
2,Tia Carrere,2,0.11136540934887419
2,Drew Lachey,3,0.13805612800057282
2,George Hamilton,3,0.1229493484990803
2,Giselle Fernandez,3,0.11131883206932876
2,Jerry Rice,3,0.13089124561416768
2,Lisa Rinna,3,0.12768019257840033
2,Master P,3,0.10809775808502493
2,Stacy Keibler,3,0.13810805991511013
2,Tia Carrere,3,0.12289843523831502
2,Drew Lachey,4,0.1604288247774952
2,George Hamilton,4,0.13625995672695285
2,Jerry Rice,4,0.15244590452395404
2,Lisa Rinna,4,0.14414378318774088
2,Master P,4,0.11296662417107885
2,Stacy Keibler,4,0.16033733479131068
2,Tia Carrere,4,0.13341757182146763
2,Drew Lachey,5,0.1875261581166378
2,George Hamilton,5,0.14799783800287464
2,Jerry Rice,5,0.1777998098770607
2,Lisa Rinna,5,0.1593749614126239
2,Stacy Keibler,5,0.18852721417998936
2,Tia Carrere,5,0.1387740184108136
2,Drew Lachey,6,0.22607029535338588
2,George Hamilton,6,0.15730194845063436
2,Jerry Rice,6,0.2135243956352443
2,Lisa Rinna,6,0.1765627283728628
2,Stacy Keibler,6,0.22654063218787263
2,Drew Lachey,7,0.2750527604414842
2,Jerry Rice,7,0.2607100945774138
2,Lisa Rinna,7,0.18907450993992103
2,Stacy Keibler,7,0.27516263504118105
2,Drew Lachey,8,0.33792400918157706
2,Jerry Rice,8,0.3243900164944446
2,Stacy Keibler,8,0.33768597432397834
3,Emmitt Smith,1,0.09705179853603442
3,Harry Hamlin,1,0.08808057402099877
3,Jerry Springer,1,0.0907663367870199
3,Joey Lawrence,1,0.09592209328886253
3,Mario Lopez,1,0.09801640600030656
3,Monique Coleman,1,0.09452027923189954
3,Sara Evans,1,0.08883938736114419
3,Shanna Moakler,1,0.08587605199173823
3,Tucker Carlson,1,0.07603276987354614
3,Vivica A. Fox,1,0.09267923983945443
3,Willa Ford,1,0.09221506306899535
3,Emmitt Smith,2,0.10567729679502759
3,Harry Hamlin,2,0.09433123782798959
3,Jerry Springer,2,0.09931358086206997
3,Joey Lawrence,2,0.10529418165145846
3,Mario Lopez,2,0.1062916794685826
3,Monique Coleman,2,0.10406852548862756
3,Sara Evans,2,0.09651972298995543
3,Shanna Moakler,2,0.09014618447675073
3,Vivica A. Fox,2,0.09955395382751783
3,Willa Ford,2,0.09880363661202023
3,Emmitt Smith,3,0.11869295187602553
3,Harry Hamlin,3,0.09944787251870717
3,Jerry Springer,3,0.11073414623408083
3,Joey Lawrence,3,0.11656882137663792
3,Mario Lopez,3,0.12062196948091432
3,Monique Coleman,3,0.11622442974934842
3,Sara Evans,3,0.10440036933382353
3,Vivica A. Fox,3,0.10719995489539075
3,Willa Ford,3,0.1061094845350716
3,Emmitt Smith,4,0.13883294492393283
3,Jerry Springer,4,0.12406289889883
3,Joey Lawrence,4,0.13234021506307106
3,Mario Lopez,4,0.14162485121116433
3,Monique Coleman,4,0.1302582124557767
3,Sara Evans,4,0.10871648479732464
3,Vivica A. Fox,4,0.1118694103292756
3,Willa Ford,4,0.11229498232062482
3,Emmitt Smith,5,0.16774987286694953
3,Jerry Springer,5,0.1400950247501076
3,Joey Lawrence,5,0.15240391840276796
3,Mario Lopez,5,0.17016885479100444
3,Monique Coleman,5,0.14902372149435356
3,Sara Evans,5,0.10859329250924156
3,Willa Ford,5,0.11196531518557538
3,Emmitt Smith,6,0.22273577715955237
3,Jerry Springer,6,0.17208824478670803
3,Joey Lawrence,6,0.19328705708268304
3,Mario Lopez,6,0.22574876731647925
3,Monique Coleman,6,0.18614015365457737
3,Emmitt Smith,7,0.24032604816787564
3,Jerry Springer,7,0.15472971797162022
3,Joey Lawrence,7,0.18762662989993434
3,Mario Lopez,7,0.24239090804663835
3,Monique Coleman,7,0.17492669591393148
3,Emmitt Smith,8,0.3017408970586178
3,Joey Lawrence,8,0.20810603766527666
3,Mario Lopez,8,0.3038932330693002
3,Monique Coleman,8,0.18625983220680542
3,Emmitt Smith,9,0.38701489478989776
3,Joey Lawrence,9,0.22449226533362152
3,Mario Lopez,9,0.38849283987648076
3,Emmitt Smith,10,0.49940617089967193
3,Mario Lopez,10,0.5005938291002671
4,Apolo Anton Ohno,1,0.09444866328324956
4,Billy Ray Cyrus,1,0.08898256771574566
4,Clyde Drexler,1,0.08795392208625372
4,Heather Mills,1,0.09141491809345371
4,Ian Ziering,1,0.09351613021914709
4,Joey Fatone,1,0.09542218757152768
4,John Ratzenberger,1,0.08998605712586738
4,Laila Ali,1,0.09496682185944515
4,Leeza Gibbons,1,0.08829792607011337
4,Paulina Porizkova,1,0.08643761672268437
4,Shandi Finnessey,1,0.08857318925251238
4,Apolo Anton Ohno,2,0.09575965986021864
4,Billy Ray Cyrus,2,0.09039231512748833
4,Clyde Drexler,2,0.08743015954525052
4,Heather Mills,2,0.09219061421603233
4,Ian Ziering,2,0.09365251417775215
4,Joey Fatone,2,0.09589272221645868
4,John Ratzenberger,2,0.09036820703259649
4,Laila Ali,2,0.09564266826813204
4,Leeza Gibbons,2,0.08842564141880573
4,Paulina Porizkova,2,0.08335410252699348
4,Shandi Finnessey,2,0.08689139561027161
4,Apolo Anton Ohno,3,0.10621565682072824
4,Billy Ray Cyrus,3,0.09955396774155108
4,Clyde Drexler,3,0.09400930208954013
4,Heather Mills,3,0.10078189062969868
4,Ian Ziering,3,0.10337160145397818
4,Joey Fatone,3,0.1063892824333352
