season,celebrity_name,week,p_est
1,Evander Holyfield,1,0.16384359081214755
1,Joey McIntyre,1,0.16868703984147373
1,John O'Hurley,1,0.17114959763906745
1,Kelly Monaco,1,0.17114959763906745
1,Rachel Hunter,1,0.16684378063142116
1,Trista Sutter,1,0.15832639343682264
1,Evander Holyfield,2,0.16113206827810472
1,Joey McIntyre,2,0.17063840704886524
1,John O'Hurley,2,0.17560177523167594
1,Kelly Monaco,2,0.17560177523167594
1,Rachel Hunter,2,0.16705105479300775
1,Trista Sutter,2,0.1499749194166705
1,Evander Holyfield,3,0.17781400395790403
1,Joey McIntyre,3,0.20146550362702956
1,John O'Hurley,3,0.21399623906386042
1,Kelly Monaco,3,0.21399623906386042
1,Rachel Hunter,3,0.19272801428734562
1,Joey McIntyre,4,0.23934572111403954
1,John O'Hurley,4,0.27206674288259974
1,Kelly Monaco,4,0.27206674288259974
1,Rachel Hunter,4,0.216520793120761
1,Joey McIntyre,5,0.2763633779666362
1,John O'Hurley,5,0.36181831094058736
1,Kelly Monaco,5,0.36181831109277646
1,John O'Hurley,6,0.49999999992444355
1,Kelly Monaco,6,0.5000000000755564
2,Drew Lachey,1,0.10202557192846226
2,George Hamilton,1,0.10181331889314692
2,Giselle Fernandez,1,0.09968067025261049
2,Jerry Rice,1,0.1020255719284623
2,Kenny Mayne,1,0.0909028084163358
2,Lisa Rinna,1,0.10202557192846232
2,Master P,1,0.10085645328939416
2,Stacy Keibler,1,0.10202557192846236
2,Tatum O'Neal,1,0.09719577719995222
2,Tia Carrere,1,0.10144868423471125
2,Drew Lachey,2,0.11325958403325143
2,George Hamilton,2,0.11258881774342881
2,Giselle Fernandez,2,0.10845648852065942
2,Jerry Rice,2,0.11325958403325141
2,Lisa Rinna,2,0.11290582891125554
2,Master P,2,0.1108064919970811
2,Stacy Keibler,2,0.11325958403325143
2,Tatum O'Neal,2,0.103453026850121
2,Tia Carrere,2,0.11201059387769983
2,Drew Lachey,3,0.12802914012324654
2,George Hamilton,3,0.12625010333686634
2,Giselle Fernandez,3,0.11596899836138796
2,Jerry Rice,3,0.1280291401326481
2,Lisa Rinna,3,0.12707628188525877
2,Master P,3,0.12186142247070174
2,Stacy Keibler,3,0.1280291401326481
2,Tia Carrere,3,0.12475577355724259
2,Drew Lachey,4,0.1474088345919382
2,George Hamilton,4,0.14276424172667276
2,Jerry Rice,4,0.14740883459021373
2,Lisa Rinna,4,0.14490259060301938
2,Master P,4,0.13126634295561734
2,Stacy Keibler,4,0.14740883459021373
2,Tia Carrere,4,0.13884032094232487
2,Drew Lachey,5,0.17351314456596276
2,George Hamilton,5,0.16136944033868358
2,Jerry Rice,5,0.17351314463405038
2,Lisa Rinna,5,0.16699117096797714
2,Stacy Keibler,5,0.17351314464151443
2,Tia Carrere,5,0.15109995485181166
2,Drew Lachey,6,0.20976557448963437
2,George Hamilton,6,0.17799382510122164
2,Jerry Rice,6,0.2097655745069897
2,Lisa Rinna,6,0.19270945131085077
2,Stacy Keibler,6,0.20976557459130354
2,Drew Lachey,7,0.2611551693195421
2,Jerry Rice,7,0.2611551694142474
2,Lisa Rinna,7,0.21653449186221552
2,Stacy Keibler,7,0.2611551694039951
2,Drew Lachey,8,0.33333333330419557
2,Jerry Rice,8,0.33333333330201315
2,Stacy Keibler,8,0.3333333333937912
3,Emmitt Smith,1,0.09255661513285834
3,Harry Hamlin,1,0.09057600960723786
3,Jerry Springer,1,0.09248523850533405
3,Joey Lawrence,1,0.09255661513285833
3,Mario Lopez,1,0.09255661531315744
3,Monique Coleman,1,0.09255661531315736
3,Sara Evans,1,0.0916638995988057
3,Shanna Moakler,1,0.0885451257617028
3,Tucker Carlson,1,0.08333220944926979
3,Vivica A. Fox,1,0.09150715640651351
3,Willa Ford,1,0.09166389977910479
3,Emmitt Smith,2,0.10182444342316829
3,Harry Hamlin,2,0.09781728352563539
3,Jerry Springer,2,0.10157863148977274
3,Joey Lawrence,2,0.10182444342316829
3,Mario Lopez,2,0.10182444342316829
3,Monique Coleman,2,0.10170548207679601
3,Sara Evans,2,0.09999539484052271
3,Shanna Moakler,2,0.09375827351248009
3,Vivica A. Fox,2,0.09967620941904101
3,Willa Ford,2,0.09999539486624714
3,Emmitt Smith,3,0.11404162014040535
3,Harry Hamlin,3,0.10390139013536398
3,Jerry Springer,3,0.11329219780471966
3,Joey Lawrence,3,0.11380369762795986
3,Mario Lopez,3,0.11404162014040536
3,Monique Coleman,3,0.11360814149414261
3,Sara Evans,3,0.10937240293103338
3,Vivica A. Fox,3,0.10856652657616825
3,Willa Ford,3,0.10937240314980154
3,Emmitt Smith,4,0.1303295659306809
3,Jerry Springer,4,0.12833195109909404
3,Joey Lawrence,4,0.12964105084984398
3,Mario Lopez,4,0.1303295659306809
3,Monique Coleman,4,0.12915324092053573
3,Sara Evans,4,0.11808916619664041
3,Vivica A. Fox,4,0.11603629285015908
3,Willa Ford,4,0.11808916622236486
3,Emmitt Smith,5,0.15346562329084648
3,Jerry Springer,5,0.1482212660091467
3,Joey Lawrence,5,0.151644229651094
3,Mario Lopez,5,0.15346562311054734
3,Monique Coleman,5,0.1503714649753269
3,Sara Evans,5,0.12141589639136975
3,Willa Ford,5,0.12141589657166886
