season,celebrity_name,week,p_est
31,Charli D'Amelio,1,0.24288350428401634
31,Cheryl Ladd,1,0.007392636275441874
31,Daniel Durant,1,0.0033332370698190097
31,Gabby Windey,1,0.24288350425912797
31,Heidi D'Amelio,1,4.301777061956453e-05
31,Jason Lewis,1,0.0001831580897043974
31,Jessie James Decker,1,0.00018667895404350787
31,Jordin Sparks,1,0.0
31,Joseph Baena,1,3.273478366041419e-07
31,Sam Champion,1,0.0020441822045138996
31,Selma Blair,1,3.323994329584602e-05
31,Shangela,1,0.24288350466433223
31,Teresa Giudice,1,1.347074294001977e-17
31,Trevor Donovan,1,3.2125554104707066e-05
31,Vinny Guadagnino,1,0.015217378758459275
31,Wayne Brady,1,0.2428835048246848
31,Charli D'Amelio,2,0.24292963226218406
31,Cheryl Ladd,2,0.007275585721371782
31,Daniel Durant,2,0.0034444195990612422
31,Gabby Windey,2,0.24292963085386207
31,Heidi D'Amelio,2,0.0
31,Jessie James Decker,2,0.00014877168607546257
31,Jordin Sparks,2,1.79596642449437e-05
31,Joseph Baena,2,1.8363167737795317e-18
31,Sam Champion,2,0.0020601595913700413
31,Selma Blair,2,2.3525536241792384e-05
31,Shangela,2,0.2429296313086153
31,Teresa Giudice,2,1.770151728922823e-18
31,Trevor Donovan,2,0.0
31,Vinny Guadagnino,2,0.015311052243517745
31,Wayne Brady,2,0.2429296315334556
31,Charli D'Amelio,3,0.24310511978563246
31,Cheryl Ladd,3,0.006029628334118809
31,Daniel Durant,3,0.003732053066260437
31,Gabby Windey,3,0.24310512082793767
31,Heidi D'Amelio,3,5.072621554818045e-18
31,Jessie James Decker,3,6.603843421197753e-18
31,Jordin Sparks,3,2.3473508520725338e-18
31,Joseph Baena,3,8.233251262720435e-18
31,Sam Champion,3,0.0023046088498299483
31,Selma Blair,3,3.6338775531933055e-05
31,Shangela,3,0.2431051211887565
31,Trevor Donovan,3,6.7303077087895096e-18
31,Vinny Guadagnino,3,0.015476887963049668
31,Wayne Brady,3,0.24310512120888267
31,Charli D'Amelio,4,0.24382854558900516
31,Daniel Durant,4,0.004483886826727499
31,Gabby Windey,4,0.24382854377969
31,Heidi D'Amelio,4,0.00017053385233346807
31,Jessie James Decker,4,0.00014360669530580258
31,Jordin Sparks,4,0.000232098190646467
31,Joseph Baena,4,8.843580600346361e-05
31,Sam Champion,4,0.002586922962081739
31,Selma Blair,4,0.0004139593985420943
31,Shangela,4,0.24382854430326326
31,Trevor Donovan,4,0.000294158458881076
31,Vinny Guadagnino,4,0.016272219568426446
31,Wayne Brady,4,0.24382854456909356
31,Charli D'Amelio,5,0.24426945740984102
31,Daniel Durant,5,0.004999776159794977
31,Gabby Windey,5,0.2442694584205242
31,Heidi D'Amelio,5,0.00016120914233570875
31,Jessie James Decker,5,9.218489923890062e-05
31,Jordin Sparks,5,0.0002046009111032797
31,Joseph Baena,5,1.4138777037551325e-18
31,Selma Blair,5,0.0004349506775599135
31,Shangela,5,0.24426945864559096
31,Trevor Donovan,5,0.0001942115035884812
31,Vinny Guadagnino,5,0.016835233412218115
31,Wayne Brady,5,0.24426945881820444
31,Charli D'Amelio,6,0.2446395032469864
31,Daniel Durant,6,0.004017418802301743
31,Gabby Windey,6,0.244639501475578
31,Heidi D'Amelio,6,2.30138940200159e-05
31,Jessie James Decker,6,2.5541643794008163e-18
31,Jordin Sparks,6,2.3557564341653153e-18
31,Shangela,6,0.24463950215383914
31,Trevor Donovan,6,4.884184228019011e-05
31,Vinny Guadagnino,6,0.017352716445571237
31,Wayne Brady,6,0.24463950213942326
31,Charli D'Amelio,7,0.24530178168676117
31,Daniel Durant,7,0.0033728064995001213
31,Gabby Windey,7,0.24530178263526833
31,Heidi D'Amelio,7,2.252946286191996e-18
31,Jordin Sparks,7,2.637718989896716e-05
31,Shangela,7,0.2453017827189558
31,Trevor Donovan,7,0.00014484071561979777
31,Vinny Guadagnino,7,0.015248845342048758
31,Wayne Brady,7,0.24530178321194704
31,Charli D'Amelio,8,0.24599261631917363
31,Daniel Durant,8,0.00281275328890412
31,Gabby Windey,8,0.24599261498726016
31,Heidi D'Amelio,8,4.7953010185715534e-18
31,Shangela,8,0.2459926157171753
31,Trevor Donovan,8,7.753405744911631e-19
31,Vinny Guadagnino,8,0.013216784252023741
31,Wayne Brady,8,0.2459926154354631
31,Charli D'Amelio,9,0.248642504502647
31,Daniel Durant,9,0.004201970945269518
31,Gabby Windey,9,0.24864250481001704
31,Shangela,9,0.24864250496264845
31,Trevor Donovan,9,0.001228009354116042
31,Wayne Brady,9,0.2486425054253019
31,Charli D'Amelio,10,0.2500000001780991
31,Gabby Windey,10,0.2499999995970908
31,Shangela,10,0.25000000009303747
31,Wayne Brady,10,0.2500000001317726
