season,celebrity_name,week,p_est,pmin,pmax,note
1,Rachel Hunter,2,4.609976029750909e-17,0.0,1.0,
1,Trista Sutter,2,5.617973521485888e-19,0.0,1.0,
1,Rachel Hunter,3,8.527281237969651e-19,0.0,1.0,
1,Rachel Hunter,4,3.483873190272093e-18,0.0,1.0,
2,George Hamilton,1,0.0,0.0,1.0,
2,Giselle Fernandez,1,0.0,0.0,1.0,
2,Kenny Mayne,1,0.0,0.0,1.0,
2,Lisa Rinna,1,1.22514845490862e-17,0.0,1.0,
2,George Hamilton,2,0.0,0.0,1.0,
2,Lisa Rinna,2,0.0,0.0,1.0,
2,Tia Carrere,2,0.0,0.0,1.0,
2,George Hamilton,3,0.0,0.0,1.0,
2,Giselle Fernandez,3,0.0,0.0,1.0,
2,Lisa Rinna,3,0.0,0.0,1.0,
3,Shanna Moakler,2,4.96462838799933e-17,0.0,1.0,
3,Vivica A. Fox,2,5.0141180669004655e-17,0.0,1.0,
3,Vivica A. Fox,3,6.538384607861069e-17,0.0,1.0,
3,Vivica A. Fox,4,8.763623681056083e-17,0.0,1.0,
3,Monique Coleman,5,3.9303045526003007e-16,0.0,1.0,
3,Willa Ford,5,1.0788434058028391e-16,0.0,1.0,
4,Leeza Gibbons,1,5.949013692316687e-17,0.0,1.0,
4,Heather Mills,2,1.922437115795705e-17,0.0,1.0,
4,Ian Ziering,2,1.9507978888173088e-17,0.0,1.0,
4,Leeza Gibbons,2,2.4364931552383887e-17,0.0,1.0,
4,Paulina Porizkova,2,1.7293196545740225e-17,0.0,1.0,
4,Heather Mills,4,6.502142628294361e-19,0.0,1.0,
4,Heather Mills,5,3.049668105694878e-17,0.0,1.0,
4,Ian Ziering,5,2.188326663902563e-17,0.0,1.0,
4,Heather Mills,6,2.482576402491727e-17,0.0,1.0,
5,Sabrina Bryan,1,2.213470499619927e-17,0.0,1.0,
5,Albert Reed,2,3.658146647890546e-17,0.0,1.0,
5,Cameron Mathison,2,0.0,0.0,1.0,
5,Jennie Garth,2,0.0,0.0,1.0,
5,Sabrina Bryan,2,0.0,0.0,1.0,
5,Sabrina Bryan,3,3.791487165153764e-18,0.0,1.0,
5,Sabrina Bryan,6,0.0,0.0,1.0,
6,Monica Seles,1,1.6773509220119502e-17,0.0,1.0,
6,Penn Jillette,1,2.610583209561513e-17,0.0,1.0,
6,Priscilla Presley,1,8.165697371798117e-19,0.0,1.0,
6,Shannon Elizabeth,1,9.818237799455118e-19,0.0,1.0,
6,Penn Jillette,2,1.0216135996374694e-17,0.0,1.0,
6,Shannon Elizabeth,2,3.1936246028996873e-19,0.0,1.0,
6,Shannon Elizabeth,3,6.710927375012179e-19,0.0,1.0,
6,Shannon Elizabeth,6,1.2947126768512244e-20,0.0,1.0,
6,Mario,8,1.2587510114804929e-17,0.0,1.0,
7,Jeffrey Ross,1,1.1560305664126693e-17,0.0,1.0,
7,Kim Kardashian,1,5.40881358798706e-17,0.0,1.0,
7,Maurice Greene,1,7.672085623050551e-17,0.0,1.0,
