celebrity_name,week,pmin,pmax,note,season
Evander Holyfield,1,0.0,1.0,,1
Joey McIntyre,1,0.0,1.0,,1
John O'Hurley,1,0.0,1.0,,1
Kelly Monaco,1,0.0,1.0,,1
Rachel Hunter,1,0.0,1.0,,1
Trista Sutter,1,0.0,1.0,,1
Evander Holyfield,2,0.0,1.0,,1
Joey McIntyre,2,0.0,1.0,,1
John O'Hurley,2,0.0,1.0,,1
Kelly Monaco,2,0.0,1.0,,1
Rachel Hunter,2,0.0,1.0,,1
Trista Sutter,2,0.0,1.0,,1
Evander Holyfield,3,0.0,1.0,,1
Joey McIntyre,3,0.0,1.0,,1
John O'Hurley,3,0.0,1.0,,1
Kelly Monaco,3,0.0,1.0,,1
Rachel Hunter,3,0.0,1.0,,1
Trista Sutter,3,0.0,1.0,,1
Evander Holyfield,4,0.0,1.0,,1
Joey McIntyre,4,0.0,1.0,,1
John O'Hurley,4,0.0,1.0,,1
Kelly Monaco,4,0.0,1.0,,1
Rachel Hunter,4,0.0,1.0,,1
Trista Sutter,4,0.0,1.0,,1
Evander Holyfield,5,0.0,1.0,,1
Joey McIntyre,5,0.0,1.0,,1
John O'Hurley,5,0.0,1.0,,1
Kelly Monaco,5,0.0,1.0,,1
Rachel Hunter,5,0.0,1.0,,1
Trista Sutter,5,0.0,1.0,,1
Evander Holyfield,6,0.0,1.0,,1
Joey McIntyre,6,0.0,1.0,,1
John O'Hurley,6,0.0,1.0,,1
Kelly Monaco,6,0.0,1.0,,1
Rachel Hunter,6,0.0,1.0,,1
Trista Sutter,6,0.0,1.0,,1
