season,method,week,m,active_count,elim_pred
6,professional_bottom_two,1,0,12,
6,professional_bottom_two,2,2,12,Adam Carolla;Cristian de la Fuente
6,professional_bottom_two,3,1,10,Jason Taylor
6,professional_bottom_two,4,1,9,Mario
6,professional_bottom_two,5,1,8,Marissa Jaret Winokur
6,professional_bottom_two,6,1,7,Marlee Matlin
6,professional_bottom_two,7,1,6,Monica Seles
6,professional_bottom_two,8,1,5,Penn Jillette
6,professional_bottom_two,9,1,4,Priscilla Presley
6,professional_bottom_two,10,0,3,
