season,week,n,p_sum,entropy,norm_entropy,variance,kl_uniform,kl_qJ,xi
1,1,421,33.99999999999998,6.030211723818316,0.9979444208830912,1.6033257643637436e-07,0.012421109864065194,0.04195891755737796,2.365119430135013e-07
1,2,404,33.99999999999998,5.987494108493778,0.997680418742838,1.9287542571007925e-07,0.013920769467372196,0.08791075280840956,2.3651194301354522e-07
1,3,360,33.999999999999986,5.867140152919323,0.9967781951475021,3.386681076680308e-07,0.018963878530833256,0.15820578854929465,2.3651194301340406e-07
1,4,326,33.999999999999986,5.755344529048639,0.9945475355378399,8.081283677958464e-07,0.031552852318069036,0.3530675808184991,2.3651194301350933e-07
1,5,288,32.99999999999981,5.640956875237023,0.9961144696354309,6.911793614420725e-07,0.022003604898922724,0.4800324774302332,2.365119430134481e-07
1,6,261,33.00000000000014,5.531028096194378,0.9939810965408193,1.4243895379598843e-06,0.033492311128315855,0.5655040482638587,2.36511943013581e-07
2,7,228,31.999999999999986,5.412322378453672,0.9968645852255223,6.953042331330632e-07,0.01702325050076947,0.6592716484265964,3.0909929474630576e-07
2,8,191,31.999999999999993,5.229707373602961,0.9957035644178066,1.3330030243165878e-06,0.02256605444366855,0.6929106795281853,3.090992947463411e-07
3,9,152,30.999999999999996,5.001067583248737,0.9954591002905268,2.0192634091034655e-06,0.022812937597539218,0.9109378906641405,2.824897453176159e-07
3,10,109,28.999999999999993,4.657088809963793,0.9926973924924383,5.848935253739483e-06,0.03425907226535063,1.9012920029939349,2.824897453176176e-07
8,11,37,8.999999999999995,3.601141719586848,0.9972926016891319,1.4729444158874033e-05,0.009776193057376314,0.015840121222534424,3.200665918509449e-07
