season,week,xi
1,1,2.6158378504693254e-17
1,2,8.64988912324455e-06
1,3,2.139612367963426e-05
1,4,4.6725393248428955e-05
1,5,0.0
1,6,2.079174222036063e-17
2,1,2.3227612677671525e-20
2,2,3.003166274727483e-20
2,3,1.1758323697860266e-05
2,4,2.5506893856172054e-19
2,5,1.0921976142941988e-06
2,6,7.961479651841367e-07
2,7,8.663931463266935e-19
2,8,1.772661827479465e-18
3,1,1.3847062087429433e-06
3,2,0.0
3,3,0.0
3,4,0.0
3,5,1.7872395187065737e-19
3,6,1.3847061915782374e-06
3,7,9.910285482875314e-20
3,8,1.1180834903756764e-19
3,9,1.3847062087503574e-06
3,10,1.3847062146603722e-06
4,1,8.582042278687127e-07
4,2,1.833217006348794e-18
4,3,1.643186926900713e-05
4,4,1.968637561649604e-19
4,5,3.7377592580413804e-06
4,6,5.417829971498276e-06
4,7,4.3981549142375735e-06
4,8,4.94633579746013e-06
4,9,8.582042278601854e-07
4,10,8.582042278481157e-07
5,1,2.0459956368174434e-05
5,2,2.9892037168208176e-05
5,3,3.0809018644263646e-05
5,4,4.764531046690853e-05
5,5,3.1718683521850526e-05
5,6,2.759451357745391e-05
5,7,6.632611975545118e-05
5,8,2.9544980341265473e-05
5,9,2.6684434090084286e-05
5,10,2.6684434090077456e-05
6,1,1.2469284823550442e-05
6,2,2.1416101312844466e-05
6,3,5.678039502071892e-06
6,4,6.274398035035504e-06
6,5,4.19067306592372e-06
6,6,2.757337839591964e-05
6,7,8.301912617679822e-06
6,8,1.5972563701426993e-05
6,9,1.2469284814427926e-05
6,10,1.246928481442649e-05
7,1,2.8047801076440403e-18
7,2,1.842332277581748e-05
7,3,0.0
7,4,4.7374406761049564e-05
7,5,3.619102622097195e-18
7,6,1.9590311833221056e-19
7,7,1.125180908786623e-05
7,8,2.491986641239493e-20
7,9,7.797235708670077e-19
7,10,3.19602721001483e-18
8,1,8.722970047802468e-06
8,2,4.954217032749694e-19
8,3,4.3661366592779815e-06
8,4,2.2728926519098135e-18
8,5,3.515815781215094e-19
8,6,9.718266894739222e-06
8,7,8.775305711194982e-06
8,8,9.202760668609243e-06
8,9,9.153388350452321e-06
8,10,1.5999825859235057e-05
8,11,8.720943038011719e-06
9,1,2.9878896588708136e-06
9,2,0.0
9,3,0.0
9,4,0.0
9,5,8.175821250199004e-19
9,6,0.0
9,7,1.8211485774971246e-19
9,8,1.5534933517652923e-05
9,9,8.030931131154835e-19
9,10,0.0
10,1,8.653420461463283e-07
10,2,3.273791577740748e-18
10,3,1.660109434457974e-05
10,4,2.0003133273075646e-18
10,5,3.8041907538276924e-06
10,6,5.45682985236676e-06
10,7,4.463973580950219e-06
10,8,5.030948034027439e-06
10,9,8.089982135442731e-07
10,10,8.089982335311813e-07
11,1,2.0458070092149644e-05
11,2,2.9892150698392917e-05
11,3,3.080914254336521e-05
11,4,4.764553441478869e-05
11,5,3.171890883715937e-05
11,6,2.7594455796748455e-05
11,7,6.632607697946627e-05
11,8,2.954494304116856e-05
11,9,2.6684323785144865e-05
11,10,2.6684323785136863e-05
12,1,8.696815862023841e-07
12,2,2.6607745746731152e-17
12,3,1.659032408481497e-05
12,4,2.78953688097453e-20
12,5,3.7954951602617553e-06
12,6,5.43291372235387e-06
12,7,4.455590614317473e-06
12,8,5.01991538950167e-06
12,9,8.608617743077277e-07
12,10,7.70815223281245e-07
13,1,2.0459149882414875e-05
13,2,2.989210772232824e-05
13,3,3.0809040371350396e-05
13,4,4.7645523627919645e-05
13,5,3.171868511120624e-05
13,6,2.7594430347914612e-05
13,7,6.63260969742628e-05
13,8,2.9544988773976362e-05
13,9,2.6684312173516313e-05
13,10,2.668431217351399e-05
14,1,0.0
14,2,2.8053621591684708e-18
14,3,5.3701885965874025e-06
14,4,8.847369014157772e-07
14,5,4.7539538961078867e-20
14,6,2.065036159410015e-06
14,7,7.759566626800657e-10
14,8,2.6807076019200543e-06
