season,week,xi
1,1,1.3909453056405206e-05
1,2,7.675800801766268e-05
1,3,1.39094530564051e-05
1,4,3.151187067184125e-06
1,5,1.390945305640484e-05
1,6,1.3909453056405018e-05
2,1,1.565316886525947e-18
2,2,4.2512583622693334e-18
2,3,1.7323127753666932e-05
2,4,0.0
2,5,0.0
2,6,1.0020399766018373e-18
2,7,0.0
2,8,0.0
3,1,1.2488269730179898e-06
3,2,8.529443979816005e-06
3,3,1.3144620092917274e-05
3,4,1.128553686914864e-05
3,5,2.9813305790402515e-05
3,6,1.2488269730385041e-06
3,7,3.213972034508698e-06
3,8,1.103743759700073e-06
3,9,1.2488269730353422e-06
3,10,1.2488269730404576e-06
4,1,7.668108592558435e-07
4,2,4.611666981028012e-06
4,3,1.5619474251431123e-05
4,4,2.573239438296351e-06
4,5,8.973331587744264e-19
4,6,3.1972643904273323e-05
4,7,2.3249411293300687e-05
4,8,7.668108592470409e-07
4,9,7.668108592585359e-07
4,10,7.6681085922362e-07
5,1,0.0
5,2,1.2613319877132057e-05
5,3,1.126309547982036e-05
5,4,0.0
5,5,2.5623568561004535e-06
5,6,1.4799277371496705e-05
5,7,1.273995291753157e-05
5,8,6.003100158457607e-06
5,9,2.5623568560782138e-06
5,10,2.5623568560834023e-06
6,1,1.0263803957184371e-05
6,2,3.8568651912875686e-05
6,3,5.215770114922992e-19
6,4,1.0263803957183297e-05
6,5,1.0263803957182377e-05
6,6,1.0263803957179394e-05
6,7,5.261150612260946e-07
6,8,5.452047191570669e-19
6,9,1.026380395718355e-05
6,10,1.0263803957180707e-05
7,1,9.327319594789475e-06
7,2,7.830332653743856e-19
7,3,3.2828975271809156e-18
7,4,0.0
7,5,4.633270221481023e-19
7,6,4.736972250347429e-19
7,7,9.583573071633353e-07
7,8,7.907387209483981e-19
7,9,0.0
7,10,1.385649600179772e-19
8,1,0.0
8,2,1.0326178659977175e-17
8,3,7.04599090501021e-06
8,4,4.453699236663111e-18
8,5,4.258881658794622e-18
8,6,0.0
8,7,5.202476362035913e-18
8,8,0.0
8,9,1.0063060388648216e-05
8,10,5.310896579284463e-18
8,11,4.213565396116517e-18
9,1,1.9704258781452067e-06
9,2,8.022535264596162e-20
9,3,2.090345069987903e-19
9,4,2.8113930306634193e-06
9,5,3.893013839541922e-19
