season,week,xi
1,1,7.514581305384493e-08
1,2,7.514582800137966e-08
1,3,7.514581304849381e-08
1,4,7.514581305112678e-08
1,5,7.514581304870814e-08
1,6,7.514581304905227e-08
2,1,0.0
2,2,1.8561552431126494e-19
2,3,0.0
2,4,7.956589416480148e-19
2,5,7.416040566457603e-19
2,6,0.0
2,7,7.044436622280161e-19
2,8,2.4936392518531695e-20
3,1,1.4440522573665188e-06
3,2,1.444052280587104e-06
3,3,1.4440522697063501e-06
3,4,1.443881375236835e-06
3,5,1.4440522697016345e-06
3,6,1.4440522682475868e-06
3,7,1.4440522697053907e-06
3,8,1.4440522697072425e-06
3,9,1.4438813643594389e-06
3,10,1.443881352018787e-06
4,1,1.428309307307564e-19
4,2,9.298304178484082e-19
4,3,0.0
4,4,0.0
4,5,2.0529961059076104e-19
4,6,6.489331167152008e-19
4,7,0.0
4,8,6.402510290058443e-19
4,9,0.0
4,10,0.0
5,1,2.7197149864234753e-18
5,2,2.412992751922597e-18
5,3,1.4077043309358544e-18
5,4,9.705492792350182e-19
5,5,6.564462431272586e-19
5,6,6.405779399435601e-19
5,7,0.0
5,8,0.0
5,9,0.0
5,10,6.279775827434174e-19
6,1,2.52414819565433e-19
6,2,0.0
6,3,0.0
6,4,4.06751771286798e-19
6,5,0.0
6,6,9.487072572884613e-20
6,7,0.0
6,8,0.0
6,9,2.36913972636783e-19
6,10,0.0
7,1,7.228733979505996e-06
7,2,7.2287339795053446e-06
7,3,7.2287339795062195e-06
7,4,7.228733979506647e-06
7,5,7.228733979507957e-06
7,6,7.228733979505357e-06
7,7,7.228733979507337e-06
7,8,7.228733979505556e-06
7,9,7.228733979505358e-06
7,10,7.228733979506227e-06
8,1,1.7362218036936187e-19
8,2,7.357140613070649e-19
8,3,1.851498724640445e-19
8,4,2.7600567474201107e-19
8,5,6.240872203930592e-19
8,6,0.0
8,7,2.4647870094749413e-19
8,8,4.836877786034943e-19
8,9,4.010956436032e-19
8,10,5.971375153809069e-20
8,11,1.4677873485694607e-18
9,1,5.895163054373088e-19
9,2,1.24457885933201e-19
9,3,0.0
9,4,0.0
9,5,0.0
9,6,2.758830615936753e-19
9,7,1.958300747756241e-19
9,8,0.0
9,9,9.130099716740244e-21
9,10,0.0
10,1,1.546893919923166e-18
10,2,0.0
10,3,0.0
10,4,0.0
10,5,5.848762500790944e-19
10,6,3.2261367378548164e-19
10,7,3.969408149070465e-19
10,8,0.0
10,9,0.0
10,10,8.344333321638926e-19
11,1,2.6336628022750386e-18
11,2,0.0
11,3,0.0
11,4,1.9990380355338973e-18
11,5,1.5957317253541902e-18
11,6,0.0
11,7,1.7150254883685905e-18
11,8,0.0
11,9,1.0762557773808577e-18
11,10,7.025920326783047e-19
12,1,0.0
12,2,9.816053067493273e-19
12,3,0.0
12,4,8.576208590949791e-20
12,5,0.0
12,6,0.0
12,7,1.0688497003165202e-18
12,8,0.0
12,9,8.164338820347387e-19
12,10,1.3488999685024733e-19
13,1,4.467569739369011e-19
13,2,2.8656729208822908e-18
13,3,0.0
13,4,8.717579747702233e-19
13,5,0.0
13,6,1.2819717601173151e-18
13,7,9.363342719804451e-20
13,8,9.113899355204632e-19
13,9,9.784028299300552e-19
13,10,1.0316450922094531e-18
14,1,4.073413850364934e-06
14,2,7.627466975040112e-07
14,3,7.627425491115811e-07
14,4,7.627425491115916e-07
14,5,7.627466975029806e-07
14,6,7.627425491106399e-07
14,7,7.627425521564483e-07
14,8,7.627425491118299e-07
14,9,7.627425491110563e-07
14,10,7.627425491115963e-07
15,1,5.881623618694055e-07
15,2,6.244388696867419e-07
15,3,6.063138601233063e-07
15,4,6.062873385790267e-07
15,5,6.062873550067352e-07
15,6,6.063138601121856e-07
15,7,6.062873221447638e-07
15,8,6.062873385720785e-07
15,9,0.0
15,10,5.881623289922935e-07
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,6.794119850564437e-19
16,7,0.0
16,8,5.940393001087407e-19
16,9,1.766738956010237e-18
16,10,1.1575526079953014e-19
17,1,5.903083501356908e-19
17,2,2.1443053324380257e-19
17,3,1.3196165442890256e-18
17,4,8.19839606790898e-19
17,5,0.0
17,6,2.338780303122348e-19
17,7,0.0
17,8,1.4209759431112818e-19
17,9,1.230585502972135e-18
17,10,0.0
17,11,0.0
18,1,2.6405180226737843e-19
18,2,1.4824422604233483e-18
18,3,0.0
18,4,0.0
18,5,0.0
18,6,8.203191396951032e-19
18,7,0.0
18,8,0.0
18,9,2.036960082014279e-18
18,10,0.0
19,1,2.010889579890534e-06
19,2,2.0108895843404352e-06
19,3,2.0108895843397136e-06
19,4,2.010889580462663e-06
19,5,2.0108895843391825e-06
19,6,2.0108940440041497e-06
19,7,2.0108895843400117e-06
19,8,2.0108895843382177e-06
19,9,2.0108895843398876e-06
19,10,2.010889580463996e-06
19,11,2.010891812523768e-06
20,1,3.189382582212342e-19
20,2,6.742580834331023e-19
20,3,4.269058273719578e-20
20,4,0.0
20,5,5.539361989052678e-19
20,6,1.0659532474540294e-20
20,7,9.312863560874448e-21
20,8,0.0
20,9,1.2694578431632038e-20
20,10,1.1127463609345299e-18
21,1,8.511076463459722e-06
21,2,8.511076463459735e-06
21,3,8.5110764634605e-06
21,4,8.511076463461817e-06
21,5,8.511076463460735e-06
21,6,8.511076463460665e-06
21,7,8.511076463463611e-06
21,8,8.511076463463396e-06
21,9,8.51107646346131e-06
21,10,8.511076463461756e-06
21,11,8.511076463459688e-06
22,1,1.4792634381207622e-06
22,2,1.4792634381215737e-06
22,3,1.4792634381224019e-06
22,4,1.4792634385015129e-06
22,5,1.4792634381239621e-06
22,6,1.479263436102448e-06
22,7,1.4792634381241654e-06
22,8,1.479263438123729e-06
22,9,1.4792634381239447e-06
22,10,1.4792634381247244e-06
23,1,0.0
23,2,0.0
23,3,1.9307057241477708e-19
23,4,0.0
23,5,1.274784585617722e-19
23,6,3.194902397924814e-19
23,7,2.1694631361550767e-19
23,8,0.0
23,9,6.527447649778452e-20
23,10,0.0
23,11,0.0
24,1,7.130566705683719e-07
24,2,7.130566771063976e-07
24,3,7.130566771040971e-07
24,4,7.13056670565697e-07
24,5,7.130566705659327e-07
24,6,7.130566771037324e-07
24,7,7.130566771049384e-07
24,8,7.130566705661155e-07
24,9,7.130566771059418e-07
24,10,7.130566771042079e-07
25,1,4.804268945883027e-07
25,2,4.818969638202293e-07
25,3,4.80426894584045e-07
25,4,4.804268961887877e-07
25,5,4.804268945892705e-07
25,6,4.81896963818534e-07
25,7,4.804268945890136e-07
25,8,4.818969638214652e-07
25,9,4.804236169288025e-07
25,10,4.818966542818391e-07
26,1,1.0048807364202007e-05
26,2,1.0048807364200688e-05
26,3,1.0048807364201155e-05
26,4,1.0048807364200635e-05
27,1,3.531080368571342e-06
27,2,3.5310803440880557e-06
27,3,3.531080361643106e-06
27,4,3.5310803722699417e-06
27,5,3.5310803450740892e-06
27,6,3.5310803722733108e-06
27,7,3.531080355702615e-06
27,8,3.5310803441785137e-06
27,9,3.531080379202374e-06
28,1,2.7813097661022166e-07
28,2,2.78130976608147e-07
28,3,2.781309766099074e-07
28,4,2.781309766098014e-07
28,5,2.7813098047504845e-07
28,6,3.765531060960071e-07
28,7,2.781309766105545e-07
28,8,2.781309766104867e-07
28,9,2.7814469751962525e-07
28,10,2.7813098047422577e-07
28,11,2.781309804759609e-07
29,1,0.0
29,2,4.0313474333384357e-20
29,3,0.0
29,4,0.0
29,5,5.586182287142111e-19
29,6,0.0
29,7,0.0
29,8,0.0
29,9,7.040961374051372e-21
29,10,0.0
29,11,7.86893607999245e-19
30,1,4.298692207315574e-20
30,2,1.1502707423713399e-18
30,3,5.1457251545698746e-20
30,4,6.016051507873668e-19
30,5,1.7978274305472525e-19
30,6,0.0
30,7,0.0
30,8,0.0
30,9,0.0
30,10,1.2853724974584008e-19
31,1,9.999223942337016e-19
31,2,1.8655900663275965e-19
31,3,7.072725109573408e-20
31,4,0.0
31,5,5.569241628197025e-20
31,6,0.0
31,7,1.0609087664360112e-19
31,8,0.0
31,9,0.0
31,10,0.0
32,1,8.906834100177427e-20
32,2,0.0
32,3,3.594931827181924e-19
32,4,0.0
32,5,1.6779365063777e-19
32,6,4.08674196023123e-19
32,7,0.0
32,8,0.0
32,9,0.0
32,10,2.0237045826037388e-19
32,11,3.4092323905726973e-20
33,1,2.921871472882783e-19
33,2,5.229375163748807e-19
33,3,2.9123631042563183e-19
33,4,0.0
33,5,1.8168149328494492e-19
33,6,3.200844126072597e-19
33,7,1.1275886631296521e-19
33,8,2.861277193462948e-19
33,9,1.7890392010229334e-19
34,1,2.357685452532199e-19
34,2,0.0
34,3,0.0
34,4,1.2491970666692705e-19
34,5,1.8457079952074775e-19
34,6,0.0
34,7,0.0
34,8,0.0
34,9,0.0
34,10,2.5614218037508936e-20
34,11,8.738893102110592e-21
