season,week,xi
1,1,9.152281239177888e-07
1,2,9.152281239176261e-07
1,3,9.152281239174739e-07
1,4,9.152281239175424e-07
1,5,9.152281239175962e-07
1,6,9.152281239176566e-07
2,1,9.52946311609771e-07
2,2,9.529463116098146e-07
2,3,9.529463116097299e-07
2,4,9.529463116096654e-07
2,5,9.529463116098318e-07
2,6,9.529463116097183e-07
2,7,9.529463116101044e-07
2,8,9.529463116096289e-07
3,1,9.203337685163452e-07
3,2,9.203337685165334e-07
3,3,9.203337685163578e-07
3,4,9.203337685162621e-07
3,5,9.203337685164122e-07
3,6,9.203337685162322e-07
3,7,9.203337685166538e-07
3,8,9.203337685163845e-07
3,9,9.203337685163282e-07
3,10,9.20333768516451e-07
4,1,9.423181954102911e-07
4,2,9.423181954102243e-07
4,3,9.423181954105695e-07
4,4,9.423181954102926e-07
4,5,9.423181954103127e-07
4,6,9.423181954102878e-07
4,7,9.423181954105585e-07
4,8,9.423181954105712e-07
4,9,9.423181954105269e-07
4,10,9.423181954105779e-07
5,1,9.438462242393394e-07
5,2,9.438462242395137e-07
5,3,9.43846224239345e-07
5,4,9.438462242393203e-07
5,5,9.438462242395196e-07
5,6,9.438462242394775e-07
5,7,9.438462242395383e-07
5,8,9.43846224239535e-07
5,9,9.438462242395759e-07
5,10,9.438462242393876e-07
6,1,9.450624186512633e-07
6,2,9.450624186511986e-07
6,3,9.450624186510459e-07
6,4,9.450624186510074e-07
6,5,9.450624186511456e-07
6,6,9.450624186512205e-07
6,7,9.450624186512768e-07
6,8,9.450624186512981e-07
6,9,9.450624186512697e-07
6,10,9.45062418651129e-07
7,1,9.482217864706181e-07
7,2,9.482217864707952e-07
7,3,9.482217864706048e-07
7,4,9.482217864705195e-07
7,5,9.482217864705587e-07
7,6,9.482217864705187e-07
7,7,9.48221786470823e-07
7,8,9.482217864706374e-07
7,9,9.482217864706275e-07
7,10,9.482217864706063e-07
8,1,9.470297750279931e-07
8,2,9.470297750280099e-07
8,3,9.470297750281202e-07
8,4,9.470297750280145e-07
8,5,9.470297750281757e-07
8,6,9.470297750280203e-07
8,7,9.470297750280667e-07
8,8,9.470297750281196e-07
8,9,9.470297750281217e-07
8,10,9.470297750280804e-07
8,11,9.470297750281897e-07
9,1,9.53400572787402e-07
9,2,9.534005727872985e-07
9,3,9.534005727872924e-07
9,4,9.534005727873081e-07
9,5,9.534005727873632e-07
9,6,9.534005727872461e-07
9,7,9.53400572787479e-07
9,8,9.534005727873704e-07
9,9,9.534005727873178e-07
9,10,9.534005727873507e-07
10,1,9.423175514663425e-07
10,2,9.423175514660394e-07
10,3,9.423175514662376e-07
10,4,9.423175514662058e-07
10,5,9.423175514662027e-07
10,6,9.423175514663863e-07
10,7,9.423175514663952e-07
10,8,9.423175514660133e-07
10,9,9.423175514662387e-07
10,10,9.423175514664496e-07
11,1,9.438432343751986e-07
11,2,9.438432343752431e-07
11,3,9.438432343752354e-07
11,4,9.438432343751339e-07
11,5,9.438432343751216e-07
11,6,9.438432343751216e-07
11,7,9.438432343752942e-07
11,8,9.438432343752811e-07
11,9,9.438432343753221e-07
11,10,9.438432343752595e-07
12,1,9.423196684717606e-07
12,2,9.4231966847196e-07
12,3,9.42319668471852e-07
12,4,9.42319668471815e-07
12,5,9.423196684718156e-07
12,6,9.423196684716849e-07
12,7,9.423196684719533e-07
12,8,9.423196684717699e-07
12,9,9.423196684720441e-07
12,10,9.423196684719827e-07
13,1,9.438440689388289e-07
13,2,9.438440689389567e-07
13,3,9.438440689389263e-07
13,4,9.438440689388163e-07
13,5,9.438440689388337e-07
13,6,9.438440689389258e-07
13,7,9.438440689389888e-07
13,8,9.438440689388769e-07
13,9,9.43844068939204e-07
13,10,9.438440689390737e-07
14,1,9.456987279904488e-07
14,2,9.456987279902431e-07
14,3,9.456987279903572e-07
14,4,9.456987279903107e-07
14,5,9.456987279903544e-07
14,6,9.456987279902978e-07
14,7,9.456987279905911e-07
14,8,9.456987279902728e-07
14,9,9.456987279904505e-07
14,10,9.45698727990376e-07
15,1,9.51444669903663e-07
15,2,9.514446699037697e-07
15,3,9.514446699038268e-07
15,4,9.514446699037446e-07
15,5,9.514446699037008e-07
15,6,9.51444669903837e-07
15,7,9.514446699039884e-07
15,8,9.514446699039409e-07
15,9,9.514446699039196e-07
15,10,9.514446699038882e-07
16,1,9.616623686423022e-07
16,2,9.616623686420439e-07
16,3,9.616623686420983e-07
16,4,9.616623686421087e-07
16,5,9.616623686422707e-07
16,6,9.616623686423177e-07
16,7,9.616623686424312e-07
16,8,9.616623686422218e-07
16,9,9.616623686420822e-07
16,10,9.616623686422785e-07
17,1,9.616603053939651e-07
17,2,9.616603053939332e-07
17,3,9.616603053938986e-07
17,4,9.61660305393836e-07
17,5,9.616603053938722e-07
17,6,9.616603053939365e-07
17,7,9.616603053938436e-07
17,8,9.616603053937826e-07
17,9,9.6166030539382e-07
17,10,9.616603053938726e-07
17,11,9.616603053938794e-07
18,1,9.616586187494997e-07
18,2,9.616586187496077e-07
18,3,9.61658618749927e-07
18,4,9.6165861874955e-07
18,5,9.616586187495404e-07
18,6,9.616586187495878e-07
18,7,9.616586187496424e-07
18,8,9.61658618749491e-07
18,9,9.616586187496702e-07
18,10,9.616586187495736e-07
19,1,9.626220059546932e-07
19,2,9.62622005954782e-07
19,3,9.62622005954888e-07
19,4,9.626220059548452e-07
19,5,9.626220059546722e-07
19,6,9.62622005954709e-07
19,7,9.626220059547292e-07
19,8,9.62622005954737e-07
19,9,9.626220059549837e-07
19,10,9.626220059548185e-07
19,11,9.626220059547944e-07
20,1,9.457011684445574e-07
20,2,9.457011684445891e-07
20,3,9.457011684446479e-07
20,4,9.457011684446512e-07
20,5,9.457011684446088e-07
20,6,9.457011684446429e-07
20,7,9.457011684447127e-07
20,8,9.457011684446986e-07
20,9,9.457011684447992e-07
20,10,9.457011684446728e-07
21,1,9.649955467555333e-07
21,2,9.64995546755521e-07
21,3,9.64995546755521e-07
21,4,9.64995546755521e-07
21,5,9.649955467555447e-07
21,6,9.649955467555543e-07
21,7,9.649955467556229e-07
21,8,9.64995546755521e-07
21,9,9.649955467556894e-07
21,10,9.649955467557378e-07
21,11,9.649955467557677e-07
22,1,9.610988649979404e-07
22,2,9.610988649980978e-07
22,3,9.610988649979078e-07
22,4,9.610988649981353e-07
