season,week,xi
1,1,2.0653292826054386e-07
1,2,2.0653292826055738e-07
1,3,2.065329282605337e-07
1,4,2.065329282604843e-07
1,5,2.0653292826048258e-07
1,6,2.065329282605392e-07
2,1,1.7084878285840598e-07
2,2,1.708487828583165e-07
2,3,1.708487828582718e-07
2,4,1.7084878285843544e-07
2,5,1.7084878285829605e-07
2,6,1.7084878285828345e-07
2,7,1.7084878285832236e-07
2,8,1.7084878285827826e-07
3,1,2.0555938490277064e-07
3,2,2.0555938490273197e-07
3,3,2.055593849026202e-07
3,4,2.0555938490256203e-07
3,5,2.0555938490267797e-07
3,6,2.055593849026436e-07
3,7,2.055593849025512e-07
3,8,2.0555938490254977e-07
3,9,2.0555938490264747e-07
3,10,2.0555938490263178e-07
4,1,1.8971622209988786e-07
4,2,1.8971622209983547e-07
4,3,1.8971622209991012e-07
4,4,1.8971622209987253e-07
4,5,1.8971622209992266e-07
4,6,1.897162220998414e-07
4,7,1.8971622209991584e-07
4,8,1.8971622209986578e-07
4,9,1.8971622209988545e-07
4,10,1.8971622209991456e-07
5,1,2.0365368654228384e-07
5,2,2.0365368654258183e-07
5,3,2.0365368654266095e-07
5,4,2.0365368654247466e-07
5,5,2.0365368654232855e-07
5,6,2.0365368654223137e-07
5,7,2.036536865423049e-07
5,8,2.036536865422073e-07
5,9,2.0365368654226216e-07
5,10,2.036536865422578e-07
6,1,2.0777539350346526e-07
6,2,2.0777539350378252e-07
6,3,2.0777539350370197e-07
6,4,2.07775393503505e-07
6,5,2.077753935038029e-07
6,6,2.0777539350351706e-07
6,7,2.0777539350342796e-07
6,8,2.0777539350345477e-07
6,9,2.0777539350348564e-07
6,10,2.0777539350346346e-07
7,1,2.079943867522544e-07
7,2,2.0799438675215462e-07
7,3,2.0799438675225528e-07
7,4,2.079943867522729e-07
7,5,2.0799438675215462e-07
7,6,2.0799438675229139e-07
7,7,2.0799438675227778e-07
7,8,2.0799438675217667e-07
7,9,2.0799438675221055e-07
7,10,2.0799438675228043e-07
8,1,1.9436665030712982e-07
8,2,1.9436665030687878e-07
8,3,1.9436665030672517e-07
8,4,1.9436665030682917e-07
8,5,1.9436665030672745e-07
8,6,1.9436665030674137e-07
8,7,1.9436665030689836e-07
8,8,1.9436665030672155e-07
8,9,1.9436665030671064e-07
8,10,1.943666503067689e-07
8,11,1.9436665030671718e-07
9,1,2.0732246478789046e-07
9,2,2.073224647878437e-07
9,3,2.0732246478778418e-07
9,4,2.0732246478789072e-07
9,5,2.0732246478794925e-07
9,6,2.073224647878298e-07
9,7,2.0732246478774818e-07
9,8,2.0732246478776388e-07
9,9,2.0732246478774434e-07
9,10,2.0732246478791785e-07
10,1,2.0389045037314898e-07
10,2,2.0389045037308858e-07
10,3,2.0389045037295213e-07
10,4,2.0389045037297378e-07
10,5,2.038904503729958e-07
10,6,2.0389045037294527e-07
10,7,2.0389045037297793e-07
10,8,2.038904503728674e-07
10,9,2.0389045037293497e-07
10,10,2.038904503728657e-07
11,1,2.0903252890244073e-07
11,2,2.0903252890225346e-07
11,3,2.090325289022467e-07
11,4,2.090325289022941e-07
11,5,2.0903252890237768e-07
11,6,2.0903252890226158e-07
11,7,2.0903252890227193e-07
11,8,2.0903252890227117e-07
11,9,2.0903252890236005e-07
11,10,2.0903252890235894e-07
12,1,2.04982823664255e-07
