season,week,xi
1,1,5.801366970082089e-20
1,2,1.355254493851044e-22
1,3,3.388152991162532e-23
1,4,4.6894069159163574e-20
1,5,0.0
1,6,0.0
2,1,7.304431743973317e-20
2,2,1.4135494142204039e-19
2,3,1.2550298949258472e-19
2,4,1.2752988187476359e-19
2,5,9.289858936334868e-20
2,6,9.247846224188448e-20
2,7,1.3562906197648575e-19
2,8,1.1939065093333863e-19
3,1,1.5492076905060445e-07
3,2,1.549207690429896e-07
3,3,1.5492076904271306e-07
3,4,1.5492076907771066e-07
3,5,1.549207690458465e-07
3,6,1.549207690556418e-07
3,7,1.549207690468764e-07
3,8,1.549207690552441e-07
3,9,1.5492076905855978e-07
3,10,1.5492076904180798e-07
4,1,7.54039122114784e-20
4,2,4.2246126553942596e-20
4,3,0.0
4,4,3.2040799244138695e-19
4,5,3.6475961856465767e-19
4,6,9.32958153802315e-20
4,7,8.703293672765682e-27
4,8,2.5902696337334667e-19
4,9,4.1700597409728713e-20
4,10,2.9884485149982293e-22
5,1,5.8249056402545e-07
5,2,5.824905640246856e-07
5,3,5.824905640118182e-07
5,4,5.824905640629553e-07
5,5,5.824905640234615e-07
5,6,5.824905641399334e-07
5,7,5.824905640391567e-07
5,8,5.824905641165053e-07
5,9,5.824905640299637e-07
5,10,5.824905640375444e-07
6,1,3.538625079339923e-07
6,2,3.538625079129099e-07
6,3,3.5386250789882103e-07
6,4,3.5386250790781387e-07
6,5,3.538625079103191e-07
6,6,3.5386250790649636e-07
6,7,3.5386250789291276e-07
6,8,3.5386250790891417e-07
6,9,3.5386250791731144e-07
6,10,3.538625079056475e-07
7,1,1.6193926852955687e-07
7,2,1.6193926851304145e-07
7,3,1.619392685225898e-07
7,4,1.6193926851380875e-07
7,5,1.619392685161469e-07
7,6,1.6193926851907336e-07
7,7,1.6193926852563257e-07
7,8,1.6193926852342573e-07
7,9,1.6193926851764883e-07
7,10,1.6193926851828032e-07
8,1,3.72628741322069e-07
8,2,3.7262874134712496e-07
8,3,3.726287413327027e-07
8,4,3.7262874140139706e-07
8,5,3.7262874138631273e-07
8,6,3.726287413022557e-07
8,7,3.7262874138784136e-07
8,8,3.7262874133778134e-07
8,9,3.726287413165544e-07
8,10,3.726287413408551e-07
8,11,3.726287413869863e-07
9,1,2.802282093319722e-21
9,2,4.69582308548465e-20
9,3,1.3115707485323933e-21
9,4,2.1528457484811105e-20
9,5,5.4675680091190624e-21
9,6,1.1303599059074202e-20
9,7,4.778499749332794e-22
9,8,5.694475772304304e-22
9,9,4.778572900554996e-22
9,10,4.0918085081867504e-20
10,1,6.70714123200524e-22
10,2,3.778236292514632e-21
10,3,1.3858802775252653e-19
10,4,1.3802948921233702e-19
10,5,3.353594682347291e-22
10,6,8.086947855651915e-20
10,7,1.8021534474149905e-19
10,8,2.4069977752093324e-20
10,9,1.3305808395062973e-19
10,10,1.2483347691035231e-19
11,1,2.573330281233721e-07
11,2,2.5733302813956473e-07
11,3,2.57333028133902e-07
11,4,2.573330281161568e-07
11,5,2.573330281208952e-07
11,6,2.573330281129097e-07
11,7,2.573330281455836e-07
11,8,2.573330281132932e-07
11,9,2.573330281284026e-07
11,10,2.573330281283308e-07
12,1,3.524239241709255e-19
12,2,3.623023582607175e-20
12,3,4.99397362565655e-19
12,4,2.8692772091826e-19
12,5,3.3502074108601687e-19
12,6,5.376147283257e-19
12,7,5.601886952181977e-20
12,8,1.3335620847023223e-19
12,9,2.4745051802631373e-21
12,10,4.319695854590683e-19
13,1,2.876666713976338e-07
13,2,2.8766667137194167e-07
13,3,2.876666713780329e-07
13,4,2.8766667137815116e-07
13,5,2.876666714126213e-07
13,6,2.876666713851562e-07
