season,week,xi
1,1,2.5700681710540737e-07
1,2,2.57006817105413e-07
1,3,2.5700681710537454e-07
1,4,2.570068171054791e-07
1,5,2.570068171053621e-07
1,6,2.570068171053763e-07
2,1,2.589800640852852e-07
2,2,2.5898006408506305e-07
2,3,2.589800640852277e-07
2,4,2.589800640851681e-07
2,5,2.589800640852765e-07
2,6,2.5898006408520535e-07
2,7,2.589800640850916e-07
2,8,2.5898006408504907e-07
3,1,2.1634174654927844e-07
3,2,2.1634174654915809e-07
3,3,2.1634174654927236e-07
3,4,2.1634174654924827e-07
3,5,2.1634174654918702e-07
3,6,2.163417465491559e-07
3,7,2.163417465490786e-07
3,8,2.1634174654910716e-07
3,9,2.1634174654916245e-07
3,10,2.1634174654904959e-07
4,1,2.6397447074707063e-07
4,2,2.639744707472421e-07
4,3,2.6397447074710573e-07
4,4,2.6397447074747737e-07
4,5,2.639744707473977e-07
4,6,2.639744707471254e-07
4,7,2.63974470747364e-07
4,8,2.6397447074717874e-07
4,9,2.6397447074721294e-07
4,10,2.6397447074732993e-07
5,1,2.6389277970470556e-07
5,2,2.6389277970483103e-07
5,3,2.6389277970500197e-07
5,4,2.638927797049609e-07
5,5,2.6389277970475723e-07
5,6,2.6389277970467623e-07
5,7,2.6389277970477947e-07
5,8,2.638927797047266e-07
5,9,2.6389277970472383e-07
5,10,2.6389277970464225e-07
6,1,2.636392377714211e-07
6,2,2.6363923777137785e-07
6,3,2.636392377713673e-07
6,4,2.6363923777129167e-07
6,5,2.636392377714316e-07
6,6,2.6363923777122623e-07
6,7,2.6363923777136515e-07
6,8,2.6363923777132407e-07
6,9,2.636392377714112e-07
6,10,2.6363923777119383e-07
7,1,2.636266742934432e-07
7,2,2.6362667429355683e-07
7,3,2.6362667429376727e-07
7,4,2.6362667429358945e-07
7,5,2.6362667429353984e-07
7,6,2.636266742933742e-07
7,7,2.6362667429349617e-07
7,8,2.6362667429344894e-07
7,9,2.6362667429343243e-07
7,10,2.6362667429348526e-07
8,1,2.648519056132866e-07
8,2,2.648519056132395e-07
8,3,2.6485190561289014e-07
8,4,2.64851905613018e-07
8,5,2.648519056130694e-07
8,6,2.6485190561292397e-07
8,7,2.648519056130615e-07
8,8,2.6485190561305743e-07
8,9,2.648519056129934e-07
8,10,2.6485190561307903e-07
8,11,2.6485190561301264e-07
9,1,2.6379975302129486e-07
9,2,2.637997530213184e-07
9,3,2.637997530213236e-07
9,4,2.6379975302125716e-07
9,5,2.6379975302133684e-07
9,6,2.6379975302118887e-07
9,7,2.6379975302125526e-07
9,8,2.6379975302131264e-07
9,9,2.637997530213414e-07
9,10,2.637997530211504e-07
10,1,2.6397446878309526e-07
10,2,2.639744687830866e-07
10,3,2.639744687832539e-07
10,4,2.639744687833403e-07
10,5,2.6397446878304883e-07
10,6,2.639744687831695e-07
10,7,2.6397446878315243e-07
10,8,2.6397446878303956e-07
10,9,2.639744687831412e-07
10,10,2.6397446878315677e-07
11,1,2.638927659132665e-07
11,2,2.6389276591334783e-07
11,3,2.6389276591346176e-07
